"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Kerr County","TX","Kerrville",873,1441,-0.00552104899930987,-0.0109814687714482,-0.0203942895989123,12506
2019-04-30,"Boyd County","KY","Huntington-Ashland",874,965,-0.00309917355371901,-0.0112704918032787,0.0179324894514768,14314
2019-04-30,"Henry County","IN","New Castle",875,809,0,0.00123762376237624,0.00247831474597274,18347
2019-04-30,"Shelby County","OH","Sidney",876,1084,0.0046339202965709,0.0111940298507463,0.0255439924314096,13388
2019-04-30,"Columbia County","OR","Portland-Vancouver-Hillsboro",877,1562,-0.00255427841634738,-0.000639795265515035,0.0156046814044213,10767
2019-04-30,"Cortland County","NY","Cortland",878,1342,-0.0117820324005891,-0.024,0.00449101796407186,12233
2019-04-30,"Franklin County","KY","Frankfort",879,1036,-0.00288739172281039,-0.000964320154291225,0.0464646464646465,17639
2019-04-30,"Clinton County","IA","Clinton",880,929,-0.0127523910733262,-0.0210748155953635,0.00868621064060804,18437
2019-04-30,"Calumet County","WI","Appleton",881,1028,-0.00772200772200772,-0.0190839694656489,-0.0356472795497186,13099
2019-04-30,"Harrisonburg City","VA","Harrisonburg",882,1162,0,0.00432152117545376,0.0962264150943396,11390
2019-04-30,"Val Verde County","TX","Del Rio",883,1190,-0.0033500837520938,-0.00501672240802676,0.0214592274678112,10273
2019-04-30,"Elko County","NV","Elko",884,1436,0.00279329608938547,0.0105559465165376,0.0637037037037037,8974
2019-04-30,"Warren County","MS","Vicksburg",885,1149,-0.000869565217391304,0.001743679163034,0.0304932735426009,12530
2019-04-30,"Jessamine County","KY","Lexington-Fayette",886,1142,0.00263388937664618,0.00794351279788173,0.0151111111111111,29997
2019-04-30,"Loudon County","TN","Knoxville",887,1147,0.00702370500438982,0.0132508833922261,0.00349956255468067,31541
2019-04-30,"Newaygo County","MI",,888,954,0.00104931794333683,0.00104931794333683,0.0437636761487965,25853
2019-04-30,"Laurens County","GA","Dublin",889,983,0.00924024640657084,0.0186528497409326,0.0380147835269271,13858
2019-04-30,"Delaware County","NY",,890,1416,0.00425531914893617,0.00425531914893617,0.00926585887384177,17068
2019-04-30,"Carroll County","NH",,891,1499,0,-0.011865524060646,-0.00794176042356056,40599
2019-04-30,"Queen Annes County","MD","Baltimore-Columbia-Towson",892,1908,-0.00313479623824451,-0.0129332643559234,0.0512396694214876,24707
2019-04-30,"Macoupin County","IL","St. Louis",893,908,-0.00329308452250274,-0.0141150922909881,-0.0299145299145299,18578
2019-04-30,"Beaufort County","NC","Washington",894,1120,0.00448430493273543,0.0200364298724954,0.126760563380282,5865
2019-04-30,"Carter County","OK","Ardmore",895,838,0.00721153846153846,0.0169902912621359,-0.0367816091954023,20486
2019-04-30,"Noble County","IN","Kendallville",896,1031,-0.00290135396518375,-0.00578592092574735,0.00194363459669582,14722
2019-04-30,"Osage County","OK","Tulsa",897,962,0.00732984293193717,0.0244941427050053,0.0594713656387665,16265
2019-04-30,"Santa Cruz County","AZ","Nogales",898,1190,-0.00167785234899329,0.00337268128161889,0.0577777777777778,13554
2019-04-30,"Stokes County","NC","Winston-Salem",899,1156,0.00434404865334492,0.0167106420404573,0.0753488372093023,11780
2019-04-30,"Lafayette County","MS","Oxford",900,1359,0.0029520295202952,0.00369276218611521,-0.0523012552301255,13590
2019-04-30,"Scott County","KY","Lexington-Fayette",901,1249,-0.00159872102318145,-0.0110847189231987,-0.0630157539384846,14814
2019-04-30,"Marshall County","IN","Plymouth",902,1087,0.00184331797235023,0.000920810313075506,-0.0198376916140667,15267
2019-04-30,"Douglas County","NV","Gardnerville Ranchos",903,1896,0,0.00583554376657825,0.076049943246311,20558
2019-04-30,"Cherokee County","OK","Tahlequah",904,855,0.00588235294117647,0.0106382978723404,-0.0183696900114811,15484
2019-04-30,"Hoke County","NC","Fayetteville",905,1053,0.00381315538608198,0.0076555023923445,0.0477611940298508,13142
2019-04-30,"Fremont County","CO","Cañon City",906,1242,-0.00798722044728434,-0.00956937799043062,0.0393305439330544,15749
2019-04-30,"Lincoln Parish","LA","Ruston",907,1218,0.00329489291598023,0.00827814569536424,-0.0065252854812398,8591
2019-04-30,"Culpeper County","VA","Washington-Arlington-Alexandria",908,1609,-0.00371517027863777,-0.00371517027863777,0.0427738172391445,14322
2019-04-30,"Hillsdale County","MI","Hillsdale",909,962,-0.0123203285420945,-0.037037037037037,-0.038961038961039,15065
2019-04-30,"Mifflin County","PA","Lewistown",910,1021,0.00393313667649951,0.00989119683481701,0.0547520661157025,10501
2019-04-30,"Richmond County","NC","Rockingham",911,912,0.0122086570477248,0.0305084745762712,0.0742049469964664,3335
2019-04-30,"Mississippi County","AR","Blytheville",912,807,-0.00123762376237624,-0.0098159509202454,-0.00493218249075216,8591
2019-04-30,"Gadsden County","FL","Tallahassee",913,1119,0.00992779783393502,0.0228519195612431,0.0917073170731707,11326
2019-04-30,"Henderson County","KY","Evansville",914,967,-0.00103305785123967,0.00624349635796046,0.0568306010928962,12711
2019-04-30,"Warren County","IA","Des Moines-West Des Moines",915,1286,-0.0015527950310559,-0.0015527950310559,0.0455284552845528,17024
2019-04-30,"Iron County","UT","Cedar City",916,1164,0.00518134715025907,-0.00342465753424658,0.0572207084468665,12192
2019-04-30,"Lawrence County","IN","Bedford",917,862,0.00936768149882904,0.0177095631641086,0.0249702734839477,16700
2019-04-30,"Lincoln County","OR","Newport",918,1470,0.00204498977505112,0.00341296928327645,0.0272536687631027,23318
2019-04-30,"Medina County","TX","San Antonio-New Braunfels",919,1408,0.00284900284900285,0.013678905687545,0.055472263868066,10939
