SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
29,19,Iowa,State,IA,15652,16038,16240,16397,16482,16360,16209,16066,15846,15677,15593,15408,15127,14856,14882,15306,15634,15715,15708,15627,15536,15408,15196,14994,14848,14667,13784,12457,12090,12268,12251,12280,12374,12436,12438,12425,12300,12105,12171,12417,12492,12543,12690,12697,12589,12619,12869,13177,13328,13277,13147,12931,12502,12108,11949,12061,12382,12462,12375,12453,12508,12511,12663,12791,12748,12685,12727,12852,12892,12918,12939,12832,12674,12413,12257,12390
30,34,Mississippi,State,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10118,10284,10436,10558,10715,11108,11459,11487,11355,11277,11492,11903,12126,12211,12306,12475,12708,12735,12619,12646,12787,12774,12590,12441,12188,11946,11974,11995,11791,11616,11586,11592,11598,11504,11559,11887,12081,12075,12021,12046,12174,12105,11772,11489,11454,11518,11622,11791
31,6,Arkansas,State,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15584,16012,16698,17004,16838,16750,16763,16818,16993,17258,17642,18037,18260,18362,18363,18239,18019,17726,17496,17451,17450,17342,17253,16900,16242,16015,16149,16299,16237,15895,15748,15793,15670,15449,15550,16009,16315,16291,16175,16184,16258,16239,16007,15697,15601,15546,15511,15592
32,23,Kansas,State,KS,12370,12464,12278,12127,12055,11889,11731,11652,11596,11571,11619,11677,11585,11337,11209,11507,11942,12042,11871,11663,11602,11614,11473,11304,11275,11203,10729,10226,10313,10527,10579,10639,10660,10691,10729,10646,10428,10308,10400,10533,10613,10747,10890,10939,10921,10870,10845,10874,10973,11037,11050,11035,10852,10649,10556,10557,10669,10739,10741,10753,10666,10512,10461,10440,10402,10368,10304,10283,10213,10081,10058,10087,10020,9761,9481,9379
33,55,Utah,State,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9979,9621,9299,9143,9123,9091,8952,8751,8681,8829,9076,9184,9195,9467,9763,9759,9560,9320,9176,9085,8919,8677,8441,8211,7963,7770,7724,7871,8060,8106,8081,8115,8191,8308,8601,9061,9427,9582,9741,10001,10309,10676,10898,10866,10739,10559,10522,10709
34,42,Nevada,State,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9246,9234,9346,9717,10510,11487,12176,12749,13291,13488,13637,14060
35,41,New Mexico,State,NM,12648,12866,13146,13328,13465,13567,13680,13781,13756,13665,13587,13535,13484,13416,13491,13807,14101,14186,14154,14087,13987,13815,13485,13141,12974,12861,12772,12818,12797,12631,12519,12311,11987,11903,12142,12353,12367,12334,12344,12373,12346,12318,12320,12288,12205,12070,11955,11945,11983,11931,11792,11672,11623,11592,11477,11382,11378,11338,11252,11167,10994,10747,10537,10311,10117,9984,9831,9723,9699,9653,9507,9342,9223,9064,8818,8599
36,61,West Virginia,State,WV,7911,8046,8108,8099,8171,8283,8262,8098,7988,8025,8090,8187,8260,8227,8281,8527,8778,8944,9038,9058,9043,9008,8914,8781,8722,8722,8726,8787,8898,8980,9019,9126,9303,9338,9163,8981,8881,8793,8814,8964,9161,9406,9634,9783,9829,9785,9757,9854,9984,10011,9926,9812,9714,9593,9527,9532,9535,9587,9691,9699,9576,9523,9571,9567,9485,9330,9164,9087,9079,9070,8972,8791,8642,8512,8395,8353
37,38,Nebraska,State,NE,5820,5845,5847,5846,5815,5944,6276,6437,6380,6341,6317,6291,6290,6220,6184,6274,6309,6225,6117,6074,6062,6011,5956,5965,5937,5808,5525,5161,5058,5189,5297,5320,5319,5325,5318,5311,5318,5312,5326,5383,5388,5300,5190,5160,5151,5065,4981,4987,5066,5117,5059,4907,4707,4541,4435,4394,4412,4424,4488,4645,4728,4667,4652,4763,4884,4919,4891,4899,4948,4993,4968,4861,4749,4595,4471,4494
38,20,Idaho,State,ID,12231,12160,12179,12327,12471,12469,12508,12685,12821,12919,13003,12988,12897,12842,12857,13137,13673,13950,13876,13667,13517,13471,13313,13148,13125,13081,12975,12841,12797,12825,12652,12376,12083,11682,11235,10954,10908,10933,11019,11095,11090,11150,11283,11294,11083,10708,10330,10096,9905,9645,9354,9064,8777,8544,8480,8586,8705,8705,8624,8502,8297,8102,7955,7757,7495,7193,6901,6708,6676,6834,6999,7013,6972,6842,6667,6593
