"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"Elkhorn","WI","Whitewater-Elkhorn","Walworth County",6208,1323,0.00151400454201363,0.00838414634146342,-0.055,2999
2019-04-30,"Uwchlan","PA","Philadelphia-Camden-Wilmington","Chester County",6209,2657,-0.00337584396099025,0.002263296869106,0.0585657370517928,2629
2019-04-30,"Mt Hope","NY","New York-Newark-Jersey City","Orange County",6210,1831,-0.00163576881134133,-0.00651112316874661,0.0415244596131968,1417
2019-04-30,"North Union","PA","Pittsburgh","Fayette County",6211,833,-0.00715137067938021,-0.0291375291375291,-0.0945652173913043,2205
2019-04-30,"Clearwater","KS","Wichita","Sedgwick County",6212,1137,0.00530503978779841,0.00530503978779841,0.0106666666666667,1531
2019-04-30,"Clifton Heights","PA","Philadelphia-Camden-Wilmington","Delaware County",6213,1326,0.00226757369614512,0.011441647597254,0.0465666929755328,2286
2019-04-30,"Johnsonville","SC","Florence","Florence County",6214,905,0.00667408231368187,0.020293122886133,0.0877403846153846,1568
2019-04-30,"Brockport","NY","Rochester","Monroe County",6215,1291,0.00155159038013964,0.00310800310800311,-0.00996932515337423,1442
2019-04-30,"Sudden Valley","WA","Bellingham","Whatcom County",6216,1763,0.00455840455840456,0.0364491475602587,0.127959053103007,3092
2019-04-30,"Stonybrook-Wilshire","PA","York-Hanover","York County",6217,1483,-0.00336021505376344,-0.00603217158176944,0.0143638850889193,2171
2019-04-30,"Byram","NJ","New York-Newark-Jersey City","Sussex County",6218,1982,0.00101010101010101,0.00202224469160768,0.034446764091858,2835
2019-04-30,"Normandy Park","WA","Seattle-Tacoma-Bellevue","King County",6219,2616,-0.000382116927779901,-0.00418728587742672,0.0459816073570572,2352
2019-04-30,"Cle Elum","WA","Ellensburg","Kittitas County",6220,1607,-0.0122925629993854,-0.0405970149253731,-0.0541494997057092,5222
2019-04-30,"Blackstone","VA",,"Nottoway County",6221,1179,-0.0092436974789916,-0.0092436974789916,0.0270034843205575,2069
2019-04-30,"Plymouth","NH","Claremont-Lebanon","Grafton County",6222,1395,0.0227272727272727,0.0325684678016284,0.0496613995485327,1618
2019-04-30,"Villa Ridge","MO","St. Louis","Franklin County",6223,802,0,0.00375469336670839,-0.0159509202453988,3571
2019-04-30,"Woodstock","NY","Kingston","Ulster County",6224,1875,0.0124190064794816,0.0146103896103896,0.0240305843801202,2553
2019-04-30,"Everman","TX","Dallas-Fort Worth-Arlington","Tarrant County",6225,1326,0.000754716981132075,0.00151057401812689,0.0239382239382239,1840
2019-04-30,"Grandview Heights","OH","Columbus","Franklin County",6226,1878,0.00106609808102345,0.00589180503481521,0.00859291084854995,2607
2019-04-30,"Moraine","OH","Dayton","Montgomery County",6227,831,0.00483675937122128,0.00972053462940462,0.0400500625782228,1946
