"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21052631578947,2.21666666666667,2.21264367816092,2.18297646687878,2.21411088911089,2.21481481481481,2.28638888888889,2.295,2.33333333333333,2.295,2.27101806239737,2.21678921568627,2.36,2.18618697478992,2.32018041237113,2.24284274193548,2.16331658291457,2.248,2.21666666666667,2.37117270788913,2.21666666666667,2.2,2.33654507914659,2.33189886773601,2.25900077426015,2.28125,2.2544780728845
"Murray Hill","New York","NY","New York-Newark-Jersey City","Queens County",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81818181818182,1.90930787589499,1.93928571428571,1.92857142857143,1.93157894736842,1.92982456140351,1.91893965223321,1.95553359683794,1.93928571428571,1.95,2.10084033613445,2.07142857142857,2.15105162523901,2.15105162523901,2.04545454545455,2.0465367965368,2.04195804195804,1.95227272727273,1.96428571428571,2.13636363636364,2.15663967611336,2.15384615384615,2.03846153846154,2,2.04194260485651,2.04347826086957,2.04096989966555,2.02863961813842,2.13068181818182,2.04096989966555,1.95,2.11363636363636,1.95,2.04662802950474,2.03846153846154,2.07863550325076,2.0625,2,2.13485999791818,2.13636363636364,2.28571428571429,2.18181818181818,2.19615384615385,2.28933333333333,2.33333333333333,2.325,2.225,2.29032258064516,2.28083333333333,2.19354838709677,2.11909871244635,2.18181818181818,2.12,2.11363636363636,2.2,2.23303167420814,2.23355614973262,2.11875,2.09090909090909,2.11111111111111,2.10083088954057,2.10818713450292,2.16025641025641,2.20208816705336,2.09090909090909,2.09090909090909
"Forest Hills","New York","NY","New York-Newark-Jersey City","Queens County",27,,,,,,,,,,,,,,,,,2,2.15909090909091,2.354296875,2.27272727272727,2.325,2.32267441860465,2.32267441860465,2.29166666666667,2.23333333333333,2.16666666666667,2.23333333333333,2.3975,2.367421875,2.36254854368932,2.33009708737864,2.24871794871795,2.23076923076923,2.23076923076923,2.25,2.25,2.26315789473684,2.26491228070175,2.31316725978648,2.33333333333333,2.33181818181818,2.33333333333333,2.4196558915537,2.44590643274854,2.395,2.33333333333333,2.38636363636364,2.38636363636364,2.4,2.4,2.41788321167883,2.4,2.45,2.45398773006135,2.39948119325551,2.359360410831,2.3252688172043,2.28812741312741,2.39285714285714,2.31936274509804,2.35314464712654,2.30965063449788,2.34834558823529,2.35714285714286,2.35294117647059,2.33333333333333,2.39791666666667,2.38461538461538,2.41507177033493,2.43194444444444,2.39666666666667,2.375,2.41696428571429,2.43819444444444,2.48005952380952,2.41583333333333,2.47487745098039,2.44230769230769,2.45454545454545,2.46514423076923,2.41336633663366,2.41336633663366,2.41422287390029,2.45454545454545,2.49583333333333,2.46428571428571,2.55714285714286,2.5,2.44827586206897,2.44140625,2.4,2.42424242424242,2.3975,2.41666666666667,2.37477598566308,2.4,2.41980519480519,2.43619791666667,2.40357142857143
"Ridgewood","New York","NY","New York-Newark-Jersey City","Queens County",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32787581699346,2.30115115115115,2.33333333333333,2.4,2.53333333333333,2.56111111111111,2.666,2.55222222222222,2.55555555555556,2.54362416107383,2.5,2.5,2.5,2.52526315789474,2.47058823529412,2.475
"West Rogers Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20454545454545,1.20454545454545,1.20454545454545,1.28205128205128,1.27777777777778,1.23863636363636,1.15849282296651,1.17727272727273,1.2,1.2050505050505,1.23303167420814,1.21481617647059,1.27261538461538,1.25,1.215625,1.1625,1.30555555555556,1.28125,1.30769230769231,1.27272727272727,1.24392857142857,1.24242424242424,1.3125,1.31414473684211,1.31818181818182,1.33,1.33333333333333
"South Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk County",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94897959183673,2.01041666666667,1.8,1.8,1.72727272727273,1.78571428571429,1.73863636363636,1.69230769230769,1.75,1.8,1.73243503368624,1.75,1.836,1.83852917665867,1.84,1.875,1.90909090909091,1.85714285714286,1.9,1.9110966579948,1.92105263157895,1.8969696969697,1.86039385336398,1.94444444444444,1.95299145299145
"Park Slope","New York","NY","New York-Newark-Jersey City","Kings County",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333333,3.21428571428571,3.33333333333333,3.34741379310345,3.42857142857143,3.44913793103448,3.49666666666667,3.5,3.495,3.42857142857143,3.5,3.5,3.4,3.36842105263158,3.41666666666667,3.51061797752809,3.47826086956522,3.55555555555556,3.52794117647059,3.53333333333333,3.5,3.47613636363636,3.56928571428571,3.56339285714286,3.5,3.5,3.5625,3.61111111111111,3.5,3.665
"Jackson Heights","New York","NY","New York-Newark-Jersey City","Queens County",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48275862068966,2.44967526210299,2.41666666666667,2.57142857142857,2.48275862068966,2.5,2.440625,2.41666666666667,2.42857142857143,2.46666666666667,2.5,2.46153846153846,2.46666666666667,2.40274914089347,2.4,2.375,2.37058823529412,2.38709677419355,2.36607142857143,2.38709677419355,2.42753623188406,2.31306990881459,2.29166666666667,2.35714285714286,2.3125,2.421875,2.4,2.375,2.24679487179487,2.40442307692308,2.49652777777778,2.36111111111111,2.4,2.44444444444444,2.45123106060606,2.59920634920635,2.49507389162562,2.43589743589744,2.42857142857143,2.25654761904762,2.3125,2.41379310344828,2.44791666666667,2.53961916461916,2.455012300123,2.44791666666667,2.43673758865248,2.34741379310345,2.36363636363636,2.42495238095238,2.49357142857143,2.52647783251231,2.36040609137056,2.43085488505747,2.3972602739726,2.48214285714286
"Midtown","Memphis","TN","Memphis","Shelby County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.684389140271493,0.632950727883539,0.695,0.710380069399263,0.657875457875458,0.6875,0.65,0.65,0.613695090439277,0.584532374100719,0.660119047619048,0.769230769230769,0.708333333333333,0.794866112650046,0.77319944598338,0.796398891966759,0.832179132040628,0.859981684981685,0.813636363636364,0.875,0.75,0.680833333333333,0.727272727272727,0.6725,0.75,0.80625,0.772727272727273,0.688461538461538
"Midwood","New York","NY","New York-Newark-Jersey City","Kings County",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22901785714286,2.29884615384615,2.23333333333333,2.22222222222222,2.2112102572988,2.24828934506354,2.32122461928934,2.29965277777778,2.28973214285714,2.12035714285714,2.32142857142857,2.37986052409129,2.28266666666667,2.32291666666667
