"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"South Bend, IN","IN",147,1013,0.0019782393669634,0.00496031746031746,0.0519210799584631,127540
2019-04-30,"Spartanburg, SC","SC",148,1107,0.00271739130434783,0.00727934485896269,0.0118829981718464,103685
2019-04-30,"Evansville, IN","IN",149,1000,0.00200400801603206,0.001001001001001,0.00806451612903226,115917
2019-04-30,"Kingsport, TN","TN",150,1022,0.00294406280667321,0.0128840436075322,0.0601659751037344,113057
2019-04-30,"Roanoke, VA","VA",151,1179,-0.00422297297297297,-0.00506329113924051,0.0333041191936897,130165
2019-04-30,"Lincoln, NE","NE",152,1314,0.00381970970206264,0.00921658986175115,0.0201863354037267,93729
2019-04-30,"Fort Collins, CO","CO",153,1764,0.00455580865603645,0.0108882521489971,0.0237957051654092,116298
2019-04-30,"Columbus, GA","GA",154,919,0.00218102508178844,0.00767543859649123,0.0314253647586981,91953
2019-04-30,"Boulder, CO","CO",155,2298,0.001743679163034,0.005249343832021,0.0374717832957111,107074
2019-04-30,"Lubbock, TX","TX",156,1156,0.00347222222222222,0.00696864111498258,0.0185022026431718,87371
2019-04-30,"Erie, PA","PA",157,974,0.0124740124740125,0.0252631578947368,0.0350690754516472,83092
2019-04-30,"Fort Smith, AR","AR",158,850,0.00117785630153121,0.00117785630153121,0.00117785630153121,78851
2019-04-30,"Duluth, MN","MN",159,1136,0.0017636684303351,0.0161001788908766,0.0017636684303351,117362
2019-04-30,"Atlantic City, NJ","NJ",160,1480,0.00543478260869565,0.0150891632373114,0.0157858613589568,112952
2019-04-30,"New London, CT","CT",161,1483,0,-0.000673854447439353,-0.00336021505376344,94286
2019-04-30,"San Luis Obispo, CA","CA",162,2477,0.00161746866154468,0.00486815415821501,0.0106079151366789,87808
2019-04-30,"Gainesville, FL","FL",163,1360,0.00443131462333826,0.0179640718562874,0.0608424336973479,74546
2019-04-30,"Santa Cruz, CA","CA",164,3127,0.00160153747597694,0.00676110753380554,0.043028685790527,64144
