"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.625,1.63636363636364,1.58897243107769,1.58823529411765,1.625,1.62727272727273,1.63181818181818,1.56,1.57015346181299,1.61111111111111,1.6,1.6498730964467,1.6875,1.7,1.75493230174081,1.75508800880088,1.67572463768116,1.76923076923077,1.79781136008338,1.82738095238095,1.69230769230769,1.78571428571429,1.73913043478261,1.81818181818182,1.71199804604324,1.69230769230769,1.71473109898675,1.75084175084175,1.8,1.81573966664632,1.83333333333333,1.79772727272727,1.76666666666667,1.75,1.7304189435337,1.83333333333333,1.79202898550725,1.80555555555556,1.8,1.81768121746095,1.84615384615385,1.84615384615385,1.83333333333333,1.89736842105263,1.9,1.9,1.90811688311688,1.86875,1.92307692307692,1.99230769230769,1.99230769230769,1.96769230769231,2
"Virginia",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.990566037735849,0.916666666666667,0.897435897435897,1.02777777777778,1.04166666666667,1.00062774639046,1.06973058637084,1.04890640895219,1.03125,1.0625,1.06923076923077,1.11111111111111,1.1,1.1,1.01087250601329,1.0224358974359,1,1,1.02823529411765,1.01698033231604,1.02564102564103,1.04938271604938,1.06801948051948,1.06524822695035,1.06428571428571,1.0545905707196,1.05,1.04560875512996,1.05384615384615,1.07225274725275,1.07142857142857,1.08333333333333,1.11669823502415,1.13636363636364
"Washington",13,,,,,,,,,,,,,,,,,0.972222222222222,0.913461538461538,0.845771490414348,0.855421686746988,0.853571428571429,0.854000904159132,0.860117419124298,0.863171355498721,0.857300884955752,0.869565217391304,0.882352941176471,0.915816326530612,0.915384615384615,0.929978118161926,0.931966449207829,0.942362428842505,0.972222222222222,1.03047921071177,1.06779912079511,1.0387811634349,1.05175595238095,1.05658709106985,1.06924643584521,1.08567059851464,1.06088560885609,1.02989026413168,1.01892914012739,1.02958724443873,1.00681894243641,1.01923076923077,1.01910828025478,1.04258443465492,1.03939393939394,1.05932203389831,1.11658456486043,1.15740740740741,1.13571428571429,1.171875,1.15840517241379,1.22377622377622,1.16892911010558,1.20557275541796,1.25,1.25,1.2,1.2307249712313,1.25,1.35600970237571,1.34073154100916,1.275,1.31281565656566,1.28895891690009,1.28,1.34171842650104,1.3240397574124,1.24759615384615,1.40050946142649,1.4,1.4308743525939,1.54166666666667,1.56617071260767,1.58163265306122,1.60797477884434,1.57671673819742,1.6469893742621,1.63828265563152,1.64913793103448,1.63223562152134,1.66666666666667,1.6625,1.625,1.73492021279684,1.68181818181818,1.60714285714286,1.58982511923688,1.63768115942029,1.58895705521472,1.58333333333333,1.62037037037037,1.57161621215912,1.58864541832669,1.58333333333333,1.6,1.68181818181818
"Massachusetts",14,,,,,,,,,,,,1.66458333333333,1.83333333333333,1.8,1.96,2.08333333333333,2.16089207487057,2.16666666666667,2.08333333333333,1.92635467980296,1.9047619047619,1.94444444444444,1.90465367965368,2,1.9922619047619,2.125,2.16666666666667,2.27869888396204,2.35714285714286,2.39285714285714,2.34589452421248,2.28571428571429,2.16666666666667,2.11111111111111,2.11111111111111,2.08333333333333,1.9047619047619,2.10363495746326,2.10555555555556,2.13945160737578,2.32487922705314,2.35294117647059,2.375,2.22570754716981,2.16666666666667,2.1,2,1.89473684210526,2.11143790849673,2.21875,2.30769230769231,2.375,2.33105734609643,2.28,2.28571428571429,2.19672765998645,2.11111111111111,2.01058201058201,2.03369556402563,2.1,2.2,2.295,2.35,2.375,2.4,2.25035161744022,2.4,2.25,2.18884120171674,2.095,2.02105263157895,2.09090909090909,2.18267502544447,2.27941176470588,2.32249250837299,2.4,2.38575160717828,2.38095238095238,2.33333333333333,2.22222222222222,2.19230769230769,2.18181818181818,2.18181818181818,2.16450216450216,2.1677419412585,2.21428571428571,2.30769230769231,2.36842105263158,2.41666666666667,2.45833333333333,2.38791423001949,2.3030303030303,2.27272727272727,2.20338983050847,2.2,2.33333333333333,2.5,2.57142857142857,2.70588235294118,2.76190476190476
"Indiana",15,0.542105263157895,0.541666666666667,0.540307971014493,0.547846725371491,0.51747311827957,0.549184518013632,0.552215189873418,0.53921568627451,0.568877551020408,0.6,0.579166666666667,0.570833333333333,0.637910345212503,0.696677384780279,0.738262910798122,0.648466281919519,0.666666666666667,0.634586949533912,0.599850074962519,0.594494047619048,0.623993558776167,0.657303370786517,0.642908456486043,0.62562625250501,0.635,0.629591459225199,0.618660714285714,0.630274355504914,0.656122076374608,0.663236143187067,0.653310719131615,0.665186500888099,0.725806451612903,0.742857142857143,0.727272727272727,0.748878968253968,0.719930555555556,0.73125,0.730337078651685,0.733454215775159,0.722578768349445,0.721153846153846,0.707547169811321,0.708333333333333,0.713636363636364,0.706521739130435,0.706521739130435,0.722222222222222,0.733333333333333,0.713470319634703,0.744047619047619,0.750798722044728,0.75,0.744047619047619,0.744047619047619,0.744047619047619,0.755208333333333,0.744047619047619,0.722222222222222,0.659090909090909,0.671111186410048,0.674509803921569,0.706214689265537,0.729166666666667,0.736923076923077,0.722222222222222,0.729166666666667,0.744036502546689,0.787593984962406,0.778210116731518,0.736108597285068,0.737250358337315,0.736108597285068,0.74875,0.789772727272727,0.813301282051282,0.770833333333333,0.75,0.823627287853577,0.807799442896936,0.763360557917506,0.791666666666667,0.799086757990868,0.786811650354598,0.746875,0.775657894736842,0.78125,0.808823529411765,0.807071960297767,0.791833333333333,0.78125,0.78,0.833333333333333,0.8203125,0.820284638017118,0.819262295081967,0.824652777777778,0.818181818181818,0.805555555555556,0.803571428571429
"Arizona",16,,,,,,,,,,,,,,,0.845397473716058,0.842940594461989,0.881521739130435,0.805555555555556,0.745550894673654,0.739828498449188,0.747126436781609,0.730994152046784,0.727966101694915,0.745,0.75,0.75,0.751445086705202,0.773623511904762,0.770061919504644,0.764297385620915,0.770681964377986,0.768822905620361,0.795,0.813318777292576,0.8125,0.79,0.791071428571429,0.785714285714286,0.78125,0.8,0.795037786174706,0.789473684210526,0.785714285714286,0.76593137254902,0.76593137254902,0.775656324582339,0.769230769230769,0.766666666666667,0.766666666666667,0.773662187647336,0.78125,0.800457404230989,0.794871794871795,0.808391608391608,0.817647058823529,0.809121347402597,0.807019704433497,0.795454545454545,0.78125,0.782767857142857,0.794558823529412,0.796465104440096,0.822485207100592,0.841613379242499,0.823529411764706,0.818181818181818,0.815217391304348,0.850196850393701,0.829166666666667,0.824826388888889,0.852123255658677,0.84379929022082,0.865800865800866,0.875,0.949452554744526,1,0.9875,1,0.998823529411765,0.995316159250585,1,1,0.994797086368366,0.990089187490178,0.998415213946117,1,1.01495726495726,1.02676857783905,1.02722136620442,1.03125,1.04166666666667,1.02777777777778,1.01960784313725,1.02439024390244,1.04347826086957,1.04257246376812,1.0809748427673,1.06266711229947,1.08333333333333,1.10031446540881
"Tennessee",17,,,,,,,,,,,,,0.617236024844721,0.599641242937853,0.587917042380523,0.56375,0.555555555555556,0.548406862745098,0.563392857142857,0.574204946996466,0.633291903409091,0.638666666666667,0.65625,0.642857142857143,0.661111111111111,0.643150684931507,0.660869565217391,0.647213622291022,0.636805555555556,0.631818181818182,0.653846153846154,0.68,0.694808031774051,0.720811368523271,0.745884773662551,0.698550724637681,0.666666666666667,0.671428571428571,0.673854447439353,0.69,0.75,0.71875,0.709677419354839,0.644086021505376,0.689827586206897,0.68204384268214,0.651086956521739,0.668421052631579,0.695,0.709838709677419,0.714285714285714,0.714285714285714,0.725,0.695,0.713114754098361,0.71875,0.686383928571429,0.689488188976378,0.65359477124183,0.657894736842105,0.682758620689655,0.703571428571429,0.745884773662551,0.766666666666667,0.748539232053422,0.732738095238095,0.730120685765847,0.705949030644153,0.6875,0.714285714285714,0.694722222222222,0.720005752321473,0.742574257425743,0.742574257425743,0.742574257425743,0.752078609221466,0.74375,0.787878787878788,0.818452380952381,0.793333333333333,0.78125,0.785714285714286,0.787401743727045,0.767434869739479,0.766666666666667,0.75,0.777002222196186,0.805263157894737,0.775,0.790139064475348,0.768278750952018,0.776388888888889,0.773863636363636,0.744858306016707,0.772788367546432,0.77104011579818,0.769889357218124,0.769230769230769,0.782894736842105,0.795
"Missouri",18,,,,,,,,,,,,,,,,0.631313131313131,0.622079439252336,0.569331243469175,0.546745562130178,0.56,0.555555555555556,0.55,0.55,0.565714285714286,0.565316640626585,0.547619047619048,0.547619047619048,0.555081532043989,0.566887208569628,0.566666666666667,0.618068321078431,0.625,0.662957954266044,0.717391304347826,0.733333333333333,0.679137617410781,0.678978387983223,0.692307692307692,0.688217978663825,0.692307692307692,0.657276995305164,0.64935129740519,0.651041666666667,0.647058823529412,0.640723270440252,0.626843657817109,0.625,0.631313131313131,0.660555555555556,0.677570093457944,0.67688028482421,0.666666666666667,0.666666666666667,0.65,0.666666666666667,0.676470588235294,0.6875,0.666666666666667,0.666666666666667,0.618198529411765,0.644712430426716,0.639087301587302,0.647290673025967,0.65,0.651041666666667,0.618562279151943,0.7,0.681818181818182,0.694444444444444,0.7,0.684659090909091,0.701213282247765,0.712812769439537,0.694383794274624,0.7,0.7,0.694832402234637,0.713360473723168,0.735504201680672,0.75,0.75,0.754716981132076,0.757575757575758,0.736607142857143,0.751764705882353,0.75,0.737159457084269,0.720551431601272,0.75,0.739247311827957,0.740740740740741,0.75,0.751633986928105,0.769230769230769,0.793787899669239,0.791666666666667,0.778688524590164,0.769230769230769,0.794956140350877,0.793868113145222
"Maryland",19,,,,,,,,,,,,,,1.53238124793448,1.62209302325581,1.48150791746641,1.52173913043478,1.40295358649789,1.1806044600939,1.18216843088418,1.14285714285714,1.19602272727273,1.16818181818182,1.10914537673453,1.13474025974026,1.22501662786831,1.2218045112782,1.1889880952381,1.22254335260116,1.22254335260116,1.25954198473282,1.27743378052976,1.3,1.3,1.25,1.26448484848485,1.24583333333333,1.23745819397993,1.2866015971606,1.30909090909091,1.33802816901408,1.3217279174726,1.31227836879433,1.29520697167756,1.29035962210971,1.29699248120301,1.30075376884422,1.28428571428571,1.34155455904335,1.30952380952381,1.31332082551595,1.36363636363636,1.38076923076923,1.3916015625,1.3595166163142,1.37797619047619,1.38196555217832,1.37074933639429,1.375,1.35,1.40977443609023,1.42703230193338,1.5,1.53225806451613,1.52941176470588,1.52658095803532,1.52013513513514,1.5,1.47216274089936,1.51071025930101,1.39572888283379,1.52160790723442,1.48682266009852,1.45532851070177,1.46163215590743,1.47368421052632,1.5,1.52887882219706,1.51363636363636,1.51,1.43303571428571,1.40550595238095,1.35714285714286,1.30234587662896,1.35,1.35,1.35464231354642,1.38180913579783,1.3778801843318,1.32592592592593,1.33281086729363,1.31818181818182,1.32629107981221,1.28998968008256,1.25,1.23829201101928,1.24309392265193,1.25685185185185,1.30486820871436,1.33333333333333
"Wisconsin",20,,,,,,,,,,0.612244897959184,0.626652394969227,0.7,0.653256302521008,0.589285714285714,0.635864592863678,0.702664796633941,0.735789473684211,0.75,0.75,0.685855263157895,0.70747293605052,0.761904761904762,0.761217948717949,0.779513888888889,0.777777777777778,0.777777777777778,0.833333333333333,0.827448453608247,0.825,0.852645502645503,0.829166666666667,0.860592492639843,0.856344462121567,0.844339622641509,0.86682427107959,0.9375,0.914634146341463,0.869090909090909,0.875,0.92139277453464,0.962613430127042,0.951783023606228,0.916666666666667,0.925925925925926,0.819435736677116,0.92032967032967,1.03703703703704,1.02627257799672,1.06626945525292,1.04417494270435,1.03703703703704,0.96875,0.976183127572017,1.025,1,0.897727272727273,0.881176470588235,0.918238993710692,0.916666666666667,0.756181276128616,0.805555555555556,0.764540875077011,0.832291666666667,0.846066779852858,0.797607178464606,0.825,0.811875,0.757575757575758,0.786363636363636,0.811875,0.862656072644722,0.80952380952381,0.809783653846154,0.927272727272727,0.971428571428571,0.97006564635426,0.996457041629761,0.965917602996255,0.924264705882353,0.872,0.896589658965897,0.923076923076923,0.98125,0.965389600188516,0.981044708029197,0.972222222222222,0.93984962406015,0.925,0.919811320754717,0.894555105409258,0.872727272727273,0.84375,0.846666666666667,0.860832173895509,0.866666666666667,0.872897026831037,0.900292397660819,0.91457264957265,0.91875,0.9
"Minnesota",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07832116788321,1.11214506969541,1.11538461538462,1.13333333333333,1.1643068973449,1.17971908992539,1.17112810707457,1.15384615384615,1.11863425925926,1.10714285714286,1.16472868217054,1.16699092088197,1.15714285714286,1.15333333333333,1.13975694444444,1.15049504950495,1.15789473684211,1.19653230417381,1.16666666666667,1.17447240497433,1.16,1.16111111111111,1.13248106060606,1.17535650623886,1.21285714285714,1.1995,1.20729166666667,1.19259259259259,1.2094298245614
