RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
74623,38060,Tennessee,5377,143900,147700,149e3,150200,139200,138700,140900,145200,139300,141700,147e3,151800,144800,153e3,159100,164500,160500,149700,151200,156500,165500,173800,164600,171700,154600,15e4,152500,154300,161100,145200,151300,155300,154500,147300,139800,144500,142100,151e3,157900,154500,139600,127100,128500,143700,141700,154400,141900,138500,124e3,130800,132500,142600,132300,139e3,139e3,148800,145700,146600,134600,134900,132600,140400,139200,135700,135400,138900,142e3,136700,135300,139800,157600,150100,148e3,136300,152200,149100,154e3,148700,147500,146600,148800,147900,159700,157400,160900,143900,147600,150700,153200,146200,146800,147e3,152500,150300,154400,159e3,160300,163300,156e3,155e3,150500,160200,163400,174900,180200,189600,184800,172400,161600,163e3,173300,191e3,193500,198800,195200,196e3,190300,187900,190500,198300,201900,190200,183300,182900,193200,193200,195300,199800,202800,211900,225100,234300,236e3,226800
76958,44044,Ohio,5378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157e3,154600,154400,152200,141200,156200,136100,159500,135800,145800,128700,130100,125300,135500,130100,141100,154100,160100,152900,132800,147500,173400,172300,156900,151500,152700,182400,170700,162600,135900,150100,166500,182600,198900
84465,60410,Illinois,5379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190300,177e3,185300,179300,192e3,193600,202600,195800,190500,183300,149200,158600,162500,196400,156400,151700,150100,185e3,183700,188400,192500,194200,190200,171500,183800,193300,204100,199e3,200300,203100,207300,211100,215900,207900,200300,176300,177300,181800,203800,208900,203e3,196500,189300,198700,204600,215300,208500,215200,209600,217900,214800,223e3,221600,222400,219700,209300,203900,216300,233900,241400,226400,224100,223e3,227e3,215e3,223600,226400,246300,247300,254300,252300,232100,237400,237e3
95805,89109,Nevada,5380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229300,235700,253300,290300,286600,338e3,298600,314800,263800,274700,277e3,280900,264600,266400,273300,283e3,281900,272300,294800,304100,316800,264200,271400,269800,301400,297800,306400,322600,333800,318600,311400,288600,298600,262600,280900,282600
84690,60712,Illinois,5381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294e3,294400,299700,326400,318500,318200,301200,312100,305e3,318900,324700,382500,388900,389200,343800,364600,359e3,364700,335700,351600,359e3,353500,351100,359800,378500,389100,389700,375e3,368500,369900,371400,387300,361900,360300,332400,345200,346200,344700,345200,339700,352500,368500,385800,365900,358400,355300,359e3,358500,354700,358300,337500,339700,334400,303400,285800,333900,401400
73785,36206,Alabama,5382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65400,61e3,58e3,63100,64800,59300,58400,56900,64100,77300,75e3,75600,76800,81e3,78800,69200,70200,73200,81600,87200,82e3,84700,83600,78300,85200,90400,100700,91200,85600,89500,94400,110200,110700,115400,112e3,103900,92800,81300,88e3
94265,83669,Idaho,5383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246600,244600,231200,234300,238500,240500,243e3,246700,245900,235800,229900,221600,244900,244200,243600,231500,233700,245700,243200,248300,248100,252900,247400,249200,253800,271700,272100,268200,259700,259900,277800,294500,299800,297600,293900,300700,309500,3e5,309200,308700,331200,320500,313900,313300,306700,326300,347700,361100,357100,319300,321700
60942,08051,New Jersey,5384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138100,173500,177900,178800,146700,146400,150500,131e3,121600,113e3,119300,126900,127300,136100,140100,153300,165100,155200,148700,135400,143700,141600,144100,146400,144600,135500,129500,136100,136900,137100,127200,142100,143300,144100,130700,121600,132100,146700,150500,140100,129200,137900,128600,137300,121900,130800,120600,143e3,142900,138800,120900,131e3,144400,153800,
84586,60558,Illinois,5385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540100,458400,460300,469200,463900,458100,455700,486800,489200,514200,481500,47e4,471500,480900,487100,515800,552400,589400,537400,534600,503600,453600,462700,525700,590800,582e3,545e3,536200,537900,535200,554800,516600,604e3,606900,646300,526e3,517e3,498300,501500,505100,487100,493600,493200,532700,555500,502800,476400,469e3,523200,547e3,568300,560900,560400,540300,586800,555e3,578600,566800,620600,607e3,567700,545600,584200,629500,600700,541900,550400,564500,627600,579100,616700,587300
66748,21047,Maryland,5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419200,384200,386100,418500,399900,381900,347800,354300,382300,373800,366e3,367400,386800,387200,378300,362500,380800,374100,382300,357100,346600,341700,349400,360800,363800,354800,365300,390800,412500,406100,408500,399100,403500,388e3,383600,373e3,369100,374100,369200,362700,354e3,373700,387600,366100,377400,394100,426800,414100,387500,372100,372900,350900,38e4,377700,420900,383500,390800,391400,452400,488100,
70218,28778,North Carolina,5387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202900,204500,200500,194200,190800,195900,202500,207300,210600,193e3,201700,230300,236e3,242800,210300,226e3,215200,226100,211300,200500,196300,22e4,223200,231200,201700,226e3,205e3,219600,193300,208700,217600,237200,227200,229400,239300,
58374,01463,Massachusetts,5388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321100,333900,321100,317700,312500,300600,306400,291400,331200,353700,364200,324800,288300,296e3,320900,337100,338300,323500,305200,319700,307e3,319100,305300,307900,319400,329400,339600,327e3,320600,322100,335300,347200,329700,361200,372800,
88598,70445,Louisiana,5389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12e4,120400,132400,150900,161200,161100,134200,142500,140800,160500,148400,148200,151100,144300,147800,157800,152600,147900,125700,123600,117e3,129300,142600,152500,151300,161600,173100,171200,,,,,,
66678,20872,Maryland,5390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308e3,319800,329800,301400,307100,313100,348300,344100,314800,320500,330500,369400,371100,357400,356400,349e3,349100,360600,362700,379600,370400,363e3,357400,365300,341100,323500,311400,330100,348800,368600,384400,385800,341100,323e3,298500,333700,
58373,01462,Massachusetts,5391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258700,258600,23e4,239200,237300,240100,238900,249900,278800,290800,296300,262800,264200,261e3,243900,228500,253300,283800,291100,239400,233700,235200,263700,272300,284e3,297700,268400,260200,247300,268800,27e4,253e3,261400,263600,296700,309100,290400,301300,258200,282900,262200,307600,334500,304300,312600,291e3,323e3,
62238,11764,New York,5392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414e3,409500,401500,399200,400300,395400,383500,377500,373200,370700,410500,405200,412e3,367800,373900,374700,385e3,415300,412800,397300,368700,362900,417400,419300,414e3,381900,381600,379500,364700,364e3,378300,397900,429500,424e3,455600,424200,418100,394500,384200,382200,364200,395500,395100,394300,396200,460200
98146,95368,California,5393,239800,230300,224100,217400,212300,201500,192e3,181300,176800,169e3,163500,156700,153200,152500,157800,163300,164200,158300,151900,152400,158100,163300,162400,155500,152900,154900,165100,161100,158900,149800,153900,149e3,151900,147500,151e3,148600,148200,142700,141900,137400,139900,136900,136400,135e3,140800,144800,147400,141200,141300,141500,146e3,144300,144700,148100,157100,159800,159700,161900,163200,168200,177800,181900,187e3,182600,193400,193300,203e3,207100,220600,226100,230600,233600,235500,233100,229600,231e3,234100,241e3,230600,228700,220600,229400,226800,233100,235400,245400,248800,250600,245e3,247900,250400,262500,267700,270200,268400,263300,261800,265600,272100,275e3,273800,272e3,276200,275600,278300,279900,289e3,298500,293200,295600,294100,305200,306600,310300,312800,315e3,315e3,311800,316200,314100,324200,322400,339400,334300,333800,321500,322900,325300,329600,333900,329500,323800,322800,333800
62481,12211,New York,5394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333300,361700,373900,358400,319e3,304800,293e3,289100,272200,276200,269600,268200,271800,282700,265500,282100,283600,308500,295e3,295600,301800,300500,299600,283e3,245200,242100,264e3,288700,303800,286300,305e3,286300,303100,287800,324700,343600,386800,349100,295700,273700,274600,314600,319900,349400,359300,329800,276900,241100,211200,242500,
97918,95006,California,5395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282400,260800,284800,238e3,259900,297900,316900,338300,342200,364100,409200,413200,427100,375300,363200,347e3,372500,375e3,379600,398300,397300,399300,379400,415900,423900,444400,429100,456100,465700,493700,549700,550800,559200,515500,499200,481100,478e3,497200,522100,526e3,529800,488100,497200,473800,503e3,529500,579600,566300,573200,573800,601100,590200,521800,524e3,534600,583500,589300,558700,574900,575500,566500,559e3,580700,602600,604900,594100,664900,676e3,673e3,629700,630200,585700,548700,515e3,576300,663900,635200,593600,
399687,97089,Oregon,5396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292500,311600,328e3,327e3,311500,311e3,314400,325100,326e3,333500,343800,350600,339100,318900,296900,301800,321800,332200,349200,348800,351100,326100,322600,306300,321800,327900,346300,354800,353900,368700,378400,388600,389100,379600,387500,391100,404900,404400,421500,397800,402800,392100,401900,393500,387400,402e3,410100,410800,416800,409700,415900,426e3,433900,431200,418e3,418800,437600,449200,439100,441800,439700,451700,442300,428500,433e3,470300,484500,501e3,509300,507900,491700,452100,464300
67044,21788,Maryland,5397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190600,197700,187e3,167900,188500,199800,223800,217500,206100,192100,173700,182100,212100,227200,222600,187100,188300,203400,225600,200700,195300,201600,214500,212700,190800,190500,195e3,206200,209100,196600,203100,205100,214800,207600,214300,221300,218300,212e3,204400,203700,174400,178500,168100,187500,176e3,183e3,189900,211800,228100,238900,226e3,217600,207300,208200,205100,229100,229200,232700,203700,200700,191700,199500,203700,214500,218200,219600,222800,229900,242800,241700,241400,224e3,233500,235600,239200,234700,225100,233200,232500,250600,243400,243800,222900,240300,247700,275900,260100,255900
76521,43103,Ohio,5398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14e4,144800,134e3,141100,149800,154900,157300,152900,142e3,124200,120800,136200,143e3,150500,144800,150700,151200,143900,152400,151100,155800,149200,146e3,151e3,145700,151700,158300,155300,146600,164800,179800,180600,154600,140200,147400,153300,160800,163500,163600,170700,17e4,168500,168600,165300,169e3,178400,191300,198600,184400,181600,180600,188300,187300,181e3,176e3,169700,182700,179100,190200,
