"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,45,"Oklahoma",28,123500,-0.00161681487469685,0.00243506493506494,0.036943744752309,0.0545408207365914,0.0257231203364596,"2019-03","2019-Q1",123700,-0.00161681487469685,"2019-02"
2019-04-30,11,"Connecticut",29,243700,-0.00204750204750205,0.00288065843621399,0.0205192629815745,0.0190108247950318,-0.0022693241715489,"2006-06","2006-Q2",290100,-0.159944846604619,"2004-05"
2019-04-30,19,"Iowa",30,142800,-0.000699790062981106,0.00280898876404494,0.0377906976744186,0.0408370407216625,0.025419128972898,"2019-03","2019-Q1",142900,-0.000699790062981106,"2019-02"
2019-04-30,34,"Mississippi",31,128400,-0.0015552099533437,0.00784929356357928,0.0780856423173804,0.0581273336860482,0.0151267555682022,"2019-03","2019-Q1",128600,-0.0015552099533437,"2019-03"
2019-04-30,6,"Arkansas",32,126800,0.000789265982636148,0.00794912559618442,0.0505385252692626,0.0496855882512865,0.0243359372158385,"2019-04","2019-Q2",126800,0,"2019-04"
2019-04-30,23,"Kansas",33,140800,0.000710732054015636,0.00643316654753395,0.0634441087613293,0.0470188815513275,0.0192130305623288,"2019-04","2019-Q2",140800,0,"2019-04"
2019-04-30,55,"Utah",34,341600,0.00234741784037559,0.0151560178306092,0.127392739273927,0.0903111007586801,0.039001546778926,"2019-04","2019-Q2",341600,0,"2019-04"
2019-04-30,42,"Nevada",35,293500,-0.00237933378653977,0.00273317389818927,0.0922962411611463,0.100290450036603,0.0494674315390631,"2006-06","2006-Q2",319100,-0.0802256345973049,"2005-03"
2019-04-30,41,"New Mexico",36,195700,-0.00153061224489796,0.00824317362184441,0.0717415115005476,0.046523396614792,0.00912886141473712,"2019-03","2019-Q1",196000,-0.00153061224489796,"2019-03"
2019-04-30,61,"West Virginia",37,96300,-0.0082389289392379,-0.0163432073544433,0.0201271186440678,0.0306689438504053,0.0167018477364225,"2019-01","2019-Q1",97900,-0.0163432073544433,"2018-10"
2019-04-30,38,"Nebraska",38,164900,-0.00121138703815869,0.0048750761730652,0.0652454780361757,0.0579863269364671,0.0337692057052179,"2019-03","2019-Q1",165100,-0.00121138703815869,"2019-02"
2019-04-30,20,"Idaho",39,265400,0.00568397120121258,0.0258987243911867,0.169162995594714,0.0968138581374882,0.0421084458944307,"2019-04","2019-Q2",265400,0,"2019-04"
2019-04-30,18,"Hawaii",40,616000,-0.00307493121864379,-0.00661183680051605,0.0185185185185185,0.0534945569305272,0.0331214016407095,"2019-01","2019-Q1",620100,-0.00661183680051605,"2018-08"
2019-04-30,28,"Maine",41,232600,-0.0012881064834693,0.00301854247520483,0.0572727272727273,0.052492959857499,0.0295110511104473,"2019-03","2019-Q1",232900,-0.0012881064834693,"2019-03"
2019-04-30,39,"New Hampshire",42,276400,-0.00144508670520231,0.00290275761973875,0.0594097355308547,0.0558833323365588,0.0233640148352441,"2019-03","2019-Q1",276800,-0.00144508670520231,"2019-02"
2019-04-30,50,"Rhode Island",43,280600,-0.00355113636363636,0.000713266761768902,0.0327567169672433,0.053431327396446,0.0191573775426637,"2005-10","2005-Q4",297000,-0.0552188552188552,"2004-12"
2019-04-30,35,"Montana",44,237500,-0.00335711288292069,0.000842815002107038,0.0602678571428571,0.0470763315235647,0.0268043373809199,"2019-03","2019-Q1",238300,-0.00335711288292069,"2019-02"
2019-04-30,13,"Delaware",45,237300,-0.00252206809583859,0.00253485424588086,0.00935772011909826,0.0397264660147438,0.00609942666773255,"2018-01","2018-Q1",240100,-0.0116618075801749,"2017-12"
2019-04-30,52,"South Dakota",46,188600,-0.00105932203389831,0.00319148936170213,0.0448753462603878,0.0516749841464403,0.0293680852628035,"2019-03","2019-Q1",188800,-0.00105932203389831,"2019-03"
2019-04-30,3,"Alaska",47,309500,0.00748697916666667,0.00454397922752353,0.0091294424519074,0.0155637847006924,0.0117417500310655,"2018-11","2018-Q4",312200,-0.00864830237027546,"2018-08"
2019-04-30,37,"North Dakota",48,206600,0.000968992248062016,0.00486381322957198,0.0162321692080669,0.0389134271240437,0.0438565082032547,"2019-04","2019-Q2",206600,0,"2019-04"
2019-04-30,58,"Vermont",49,201700,-0.00197921820880752,-0.0068931560807484,0.0348896870189841,0.0195382193485987,0.0100533257116886,"2019-01","2019-Q1",203100,-0.0068931560807484,"2018-11"
2019-04-30,12,"District of Columbia",50,574100,-0.0082915874935222,-0.0130651538593777,0.0197158081705151,0.0546945867274893,0.0476016709118274,"2018-12","2018-Q4",582100,-0.0137433430682013,"2018-10"
2019-04-30,62,"Wyoming",51,227100,0.00220653133274492,0.00442282176028306,0.0484764542936288,0.0347967121235881,0.0219369314927278,"2019-04","2019-Q2",227100,0,"2019-04"
