"RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Pensacola, FL",99,,,,,,,,,,,,0.580501618122977,0.618075088663324,0.598591549295775,0.597713097713098,0.571725571725572,0.542424242424242,0.596795774647887,0.638888888888889,0.598591549295775,0.621969696969697,0.597803237334454,0.597014925373134,0.587083333333333,0.567424242424242,0.598591549295775,0.583193277310924,0.609243697478992,0.638321995464853,0.643243243243243,0.649187306501548,0.659502923976608,0.682382133995037,0.665680473372781,0.641264478764479,0.694444444444444,0.7,0.7,0.707142857142857,0.706845238095238,0.675952718934265,0.666666666666667,0.666666666666667,0.67392449422742,0.700207468879668,0.684210526315789,0.684210526315789,0.722222222222222,0.725975975975976,0.718592430593524,0.708536255411255,0.684210526315789,0.696452328159645,0.717453278428888,0.733333333333333,0.722222222222222,0.74375,0.722222222222222,0.722222222222222,0.722222222222222,0.75,0.739644970414201,0.75,0.714285714285714,0.75,0.758823529411765,0.75,0.750417130144605,0.75,0.786388888888889,0.72972972972973,0.753695539419087,0.760731319554849,0.722222222222222,0.783333333333333,0.75,0.779513888888889,0.776053215077605,0.767607930089996,0.770509977827051,0.807100859339665,0.794392523364486,0.807174887892377,0.806813250397801,0.806451612903226,0.894660894660895,0.908222087378641,0.913430420711974,0.860927152317881,0.855911330049261,0.86015107615894,0.894672443535123,0.851805357456869,0.874213836477987,0.883838383838384,0.888888888888889,0.958333333333333,0.944444444444444,0.924550614947966,0.841666666666667,0.89005248442635,0.896738527735267,0.872727272727273,0.947319457584358
"Visalia, CA",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.886363636363636,0.868693181818182,0.826241134751773,0.806288032454361,0.870863970588235,0.886524822695035,0.875779119594858,0.886363636363636,0.894736842105263,0.912164186557475,0.9375,0.894736842105263,0.900517086330935,0.8875,0.923055946137547,0.921666666666667
"Springfield, MO",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582010582010582,0.521780303030303,0.586750305997552,0.635864592863678,0.636363636363636,0.641944444444444,0.629528985507246,0.616341991341991,0.638888888888889,0.649561383659184,0.641944444444444,0.651041666666667,0.650684338184338,0.634948060651755,0.625657894736842,0.65,0.65,0.648761261261261,0.669411764705882,0.653846153846154,0.656089743589744,0.6625,0.673901098901099,0.676470588235294,0.648761261261261,0.633333333333333,0.622641509433962,0.631818181818182,0.640790246768508,0.651886261261261,0.66,0.66,0.678571428571429,0.65
"Reno, NV",102,,,,,0.675122782872379,0.705882352941177,0.701960784313725,0.697980684811238,0.75,0.738819176319176,0.741795366795367,0.764615384615385,0.755769230769231,0.766666666666667,0.74655545112782,0.752055311890838,0.74875,0.752055311890838,0.770703125,0.776526756535948,0.758333333333333,0.764416582235731,0.781818181818182,0.822319097231199,0.819672131147541,0.8125,0.826086956521739,0.826388888888889,0.826388888888889,0.783766233766234,0.814251721344674,0.805952380952381,0.813226744186047,0.804398148148148,0.825,0.875,0.863636363636364,0.859375,0.863636363636364,0.844695378151261,0.840336134453782,0.866193181818182,0.859375,0.859375,0.83,0.84375,0.863354037267081,0.875,0.891634050880626,0.88339222614841,0.860263347763348,0.882211952774905,0.865243902439024,0.8984375,0.912878787878788,0.9375,0.904545454545455,0.924657534246575,0.924657534246575,0.8984375,0.952380952380952,0.954545454545455,0.976445578231293,0.962912087912088,0.952282112106835,0.943703680734286,0.953525641025641,0.938356164383562,0.978004733484256,1,1.02827496860095,1,1,1.02998583926136,0.991666666666667,1.02102864583333,0.987463979589964,1.08916666666667,1.07888155262105,1.12847222222222,1.20772946859903,1.17320722755505,1.16005976455294,1.13926024955437,1.19230769230769,1.2610082065575,1.23172724895398,1.27371312897629,1.3021978021978,1.3021978021978,1.28643261647907,1.26712328767123,1.25,1.34057971014493,1.36867816091954,1.41666666666667,1.36377490657779,1.37844611528822,1.35416666666667,1.36093532952616,1.41643059490085,1.3743842364532,1.41366248693835,1.44779792746114
"Port St. Lucie, FL",103,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.857421875,0.966806316467934,0.935228193166767,0.986382567321961,0.970677451971689,1.00355640415019,1,1.00104384133612,1.00208768267223,1.01137800252844,1,0.959735109238739,1,0.998263888888889,1,0.988782124725664,0.983606557377049,0.992462547255654,1.04288225085808,1.03542234332425,1.04050271115868,1.09485548980547,1.11731843575419,1.0199806179455,1.03571428571429,1.10823117338004,1.08006548228963,1.08339972683815,1.07329040171726,1.0467987963059,1.07981220657277,1.07981220657277,1.02763367916999,1.02827763496144,1.0261870102518,1.02751211029686,1.03252699922174,1.09143827310211,1.08468178727843,1.09700118783311,1.07079157465602,1.07919254658385,1.06580829756795,1.13527310078621,1.12813931783472,1.12233445566779,1.02189781021898,1.11838028169014,1.05692800326556,1.13392857142857,1.12244897959184,1.05170902716915,1.15785123966942,1.05902777777778,1.16666666666667,1.10597826086957,1.17370892018779,1.21787775949041,1.1965811965812,1.20062827439424,1.14667283518024,1.13728675873274,1.12676056338028,1.12179487179487,1.13302465026938,1.20299551670644,1.25261506276151,1.29944134078212,1.21392367284522,1.13612672109739,1.23865926130494,1.22617374156512,1.33695652173913,1.35714285714286,1.32359307359307,1.21794871794872,1.21428571428571,1.3168433451119
"Huntsville, AL",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611111111111111,0.615384615384615,0.638297872340426,0.618622448979592,0.621811224489796,0.666666666666667,0.645161290322581,0.696883852691218,0.715555555555556,0.715555555555556,0.638297872340426,0.661447368421053,0.654795456998597,0.661447368421053,0.647014051522248,0.638297872340426,0.638297872340426,0.605063291139241,0.611111111111111,0.625,0.637265779092702,0.651633165829146,0.647058823529412,0.715488215488216,0.715488215488216,0.715488215488216,0.663367859706697,0.685880735272833,0.68,0.675,0.679086538461538,0.667708333333333,0.647058823529412,0.681587837837838,0.715488215488216,0.699324607115812,0.659214922748398,0.662105263157895,0.691666666666667,0.657685797408093,0.651633165829146,0.681818181818182,0.681818181818182,0.665333333333333,0.651041666666667,0.631377551020408,0.65,0.640663390663391,0.657909798534799,0.658536585365854,0.668154761904762,0.671171171171171,0.666666666666667,0.66285534591195,0.642595948073972,0.670955882352941,0.675675675675676,0.675675675675676,0.656934306569343,0.657414521705724,0.691953423705248,0.693430656934307,0.693430656934307,0.638288288288288,0.666513480392157,0.680693069306931,0.680693069306931,0.653846153846154,0.662280701754386,0.688775510204082,0.708128078817734,0.717130700296307,0.722627737226277,0.722627737226277
"Salinas, CA",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79702380952381,1.88571428571429,1.86878306878307,1.9427374301676,2.25925925925926,2.05,1.92307692307692,2,1.9672619047619,2.26,2.16666666666667,2.11111111111111,1.97697697697698,2.04965034965035,2.18551254089422,2.19,2.30352303523035,2.32142857142857,2.30803502247017,2.25347222222222,2.23015954008912,2.31578947368421,2.28155339805825,2.25,2.37127371273713
"Mobile, AL",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.770360480640854,0.814630681818182,0.81953642384106,0.851324503311258,0.731666666666667,0.7375,0.778133903133903,0.72992700729927,0.678453947368421,0.702941176470588,0.714705882352941,0.723529411764706
"Brownsville, TX",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.791666666666667,0.865917381445332,0.818181818181818,0.823529411764706,0.796812749003984,0.791666666666667,0.791153846153846,0.80952380952381,0.822348647488192,0.807823129251701,0.818181818181818,0.806364767069967,0.736368722296338,0.75,0.731707317073171,0.760819951267427,0.756551141166526,0.762191859324885,0.757567195780276,0.791987179487179,0.795755968169761,0.799484536082474,0.8,0.789692435577722,0.769230769230769,0.780346820809249,0.807291666666667,0.807692307692308
"Killeen, TX",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.573054453262787,0.580168776371308,0.566666666666667,0.575,0.575938566552901,0.575938566552901,0.577281191806331,0.590909090909091,0.580168776371308,0.609163399857448,0.617354096520763,0.622641509433962,0.631313131313131,0.628415300546448,0.625,0.625,0.623582766439909,0.630040322580645,0.628227099219739,0.647058823529412,0.660377358490566,0.67191844300278,0.681818181818182,0.696166967690147
"Canton, OH",109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514030831857536,0.436258318653357,0.419207317073171,0.383771929824561,0.383771929824561,0.404042053023377,0.437865141187926,0.428086808051761,0.432692307692308,0.48828125,0.508246527777778,0.566666666666667,0.644578853046595
"Manchester, NH",110,,,,,,,,,,,,,,,,,,,,,,1.14337622682661,1.08457142857143,1.1037037037037,1.15,1.08518518518519,1.0398773006135,1.08809020436927,1.07497004377277,1.00813008130081,1.12660256410256,1.10610650510204,1.11682365253794,1.17647058823529,1.14285714285714,1.18169014084507,1.18312757201646,1.16333333333333,1.10714285714286,1.0599700149925,1.09090909090909,1.12372448979592,1.10782865583456,1.10782865583456,1.16666666666667,1.10696683906298,1.0599700149925,1.10995850622407,1.10526315789474,1.15408608858391,1.15270093902879,1.14361167002012,1.125,1.21128451380552,1.22702927324776,1.21875,1.22754491017964,1.20627261761158,1.22754491017964,1.16971312061811,1.13636363636364,1.21746214582472,1.10305555555556,1.04744169841942,1.09489051094891,1.05939677220213,1.15196078431373,1.27250900360144,1.25327814569536,1.2719298245614,1.20966677228559,1.12940630797774,1.28676470588235,1.245,1.1875,1.17156862745098,1.0989010989011,1.10633066994468,1.1328125,1.13095238095238,1.08854166666667,1.13095238095238,1.18465909090909,1.1,0.987621905476369,1.07632093933464,1.05882352941176,1.05490196078431,1.00062735257215,1.036,1.018,0.962695547533093,1.05882352941176,0.992125984251969,1,1.05882352941176,1.14706848904945,1.13928571428571,1.13924050632911,1.04941176470588,0.9921875,0.986462309160305,1.02201257861635,1.1455525606469
"Salem, OR",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987951898123001,1.00574712643678,0.972307104660046,0.909090909090909,1.00377002827521,0.954513336866278,0.995,1.01850457546623,1.04049625468165,1.04838709677419,1.00324675324675,1.0194736184046,1.01744186046512,1.04124700239808,1.0862414187643,1.1,1.05294117647059,1.07567567567568,1.06060606060606,1.06060606060606,1.0406976744186,1.05555555555556,1.10416666666667,1.0996705107084,1.08333333333333,1.06521739130435,1.1,1.0998352553542,1.0838779956427,1.08333333333333,1.07011365968801,1.08179012345679,1.10869565217391,1.15625,1.13888888888889
"Anchorage, AK",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973360655737705,0.87719298245614,0.916666666666667,0.979166666666667,1.05882352941176,1.09090909090909,1.09090909090909,1.21909921761407,1.11940298507463,1.18442888082581,1.21252204585538,1.2,1.20192307692308,1.14613180515759,1.27857142857143,1.27857142857143,1.26329787234043,1.20833333333333,1.17894912851061,1.13636363636364,1.17838157117543,1.24919923126201,1.21428571428571,1.21252204585538,1.26741071428571,1.1875,1.15765107212476,1.23574449781346,1.23333333333333,1.12028032036613,1.17498065709187,1.13333333333333,1.04166666666667,1.09452736318408,1.08947368421053,1.04736842105263,1.12669245647969,1.20820433436533,1.18722181008902,1.18845500848896,1.19125,1.12629821958457,1.06581142568251,1.07692307692308,1.11764705882353,1.09472222222222,1.04184829991282,1.05932203389831,1.14965986394558,1.11555555555556,1.09945054945055,1.05555555555556,1.02163461538462,1.02366255144033,0.984166666666667,1.01388888888889,1.03184918879056,1.0625,1.05258693808312,1.07453703703704,1.07008607754876,1.125,1.14285714285714,1.09090909090909,1.10636467889908,1.0672619047619,1.07692307692308,1.07102593010147,1.11538461538462,1.14285714285714,1.09835493519442,1.07692307692308,1.13097802671262
"Davenport, IL",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.797058823529412,0.81953781512605,0.849008704061896,0.848387096774194,0.827625570776256,0.833333333333333,0.880077913889389,0.83738936118108,0.78125,0.771604938271605,0.821428571428571,0.822916666666667,0.802951388888889,0.794117647058823,0.845070422535211,0.794117647058823,0.75,0.794558823529412,0.785361842105263,0.803703417216722,0.792466986794718,0.794117647058823,0.802517361111111,0.817647058823529,0.824652777777778,0.811764705882353,0.811764705882353,0.828598484848485,0.812132352941176,0.824652777777778,0.875,0.863636363636364,0.884615384615385,0.844951923076923,0.84375,0.87609649122807
"Myrtle Beach, SC",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.861263736263736,0.856481481481482,0.903492239467849,0.901219512195122,0.9,0.904159132007233,0.874236980428522,0.878403203879928,0.9,0.968253968253968,0.956054401871892,0.888888888888889,0.997139728661468,0.902272727272727,0.9,0.925,0.923076923076923,0.951927869149563,0.944778081536922,0.946159936658749,1,0.94327485380117,0.942105263157895,0.932183908045977,0.926785714285714,0.925,0.934782608695652,0.961772486772487
"Montgomery, AL",115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608272506082725,0.716705426356589,0.666666666666667,0.686666666666667,0.586602324616023,0.586602324616023,0.558993884511349,0.572222222222222,0.613636363636364,0.61576354679803,0.572222222222222,0.588320707070707,0.537325734082083,0.583333333333333,0.5420054200542,0.505952380952381,0.572187312986236,0.601750547045952,0.617158334553131,0.638311688311688,0.700867052023121,0.611111111111111,0.587121212121212,0.587121212121212,0.524259531991491,0.524259531991491,0.567736883320282,0.48961661341853
