"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Lubbock County","TX","Lubbock","48","303",226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000,65000,63000,62500,65000,65000,69062.5,69500,69000,69950,74450,73000,73000,74975,70000,72750,70950,71450,70000,71900,74900,73000,72950,70000,75000,75000,72000
"Saint Lucie County","FL","Port St. Lucie","12","111",227,59900,59900,59900,59999,59900,59000,59000,59900,58000,59000,58900,58250,57900,55000,57500,58000,57000,55000,55000,54900,54900,54900,54900,54000,53000,54900,54900,55000,55000,56000,56000,55900,54950,55000,55000,57000,57750,57900,58250,59900,59900,59900,58900,59000,59900,60000,63000,63500,62750,62750,62000,60000,62650,62400,63500,64250,62400,60000,59900,57900,61900,60000,59900,62500,65000,67950,69000,64900,65000,63900,65000,64900,70000,74900,79000,80000,78888,84500,82500,85000,89000,84950,89250,89900,94250,94700,97000,1e+05,1e+05,1e+05,104900,104900,109525,120000,124450,125000,125900,127000,125850,125900,129900,132500,134900,135875,137000,139000,141000,144900,145000,149250,149900,149900
"Leon County","FL","Tallahassee","12","073",228,92900,90000,89900,86000,85000,85000,84900,84900,81450,79900,79900,75000,77500,71905,74900,75000,75000,74500,71950,71800,70000,69900,68000,68000,65900,67000,69500,67000,69000,68700,69000,67900,67500,67900,66000,68000,67500,68000,67500,67995,68900,67900,67500,66500,67500,68000,67000,65900,65000,68000,66500,67500,67700,67000,65000,67500,69500,68900,68900,68700,68700,67950,67975,67725,66200,68000,69300,69900,69900,70000,69950,69000,69900,69000,69900,69900,74500,74900,74900,70500,74900,71500,73500,74650,75000,75000,75000,75000,79650,79900,79500,79900,80000,79900,79900,79900,79949.5,83500,84900,87500,89000,85900,85500,87900,86000,85550,90000,90000,92975,92975,93900,95000
"Greene County","MO","Springfield","29","077",229,64900,65900,69900,69900,69900,69900,69900,69900,69900,69900,69600,67900,65000,64900,64900,64900,62250,64250,64500,64900,64900,64900,62795,62900,62900,63000,63500,60000,59900,59900,59900,59900,59900,59900,59900,62500,62000,62000,62900,62000,61950,59900,64500,64900,63900,63950,64250,59900,64900,65000,64900,65000,64900,65000,65000,65000,64900,64900,64900,62945,62000,64900,63900,64900,64900,64900,65000,64900,64900,64900,64900,64850,67000,69900,69900,69900,74900,74900,74900,77900,75000,70500,69900,68900,67000,65000,68774.5,70000,69900,70000,70000,70084.5,73900,71500,72444,70862,73250,73867,74500,73867,74900,79900,79900,75000,75000,75000,74900,71613,72900,74000,76999,79800
"Hamilton County","IN","Indianapolis-Carmel-Anderson","18","057",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80950,85000,75000,84900,84900,84900,85000,85000,93250,92500,94900,94900,99900,94900,87450,89900,89900,93700,97000,101950
"Atlantic County","NJ","Atlantic City-Hammonton","34","001",231,128000,129000,129999,129900,128000,124900,120000,119900,119900,119000,119000,117000,115000,104900,109000,110000,109900,109900,95000,90950,99500,99000,99000,97500,97250,97500,94500,90000,94000,92000,90000,89900,89900,90000,89900,89000,89900,89900,89900,89400,89900,89000,88900,89000,89900,89900,89000,89900,89000,89000,89900,89900,89000,89000,89000,89000,89000,89000,89000,87400,85000,85000,84900,80000,79900,79900,79900,79000,79000,77250,75000,72500,72500,70000,69900,69900,69900,69900,69900,70000,69900,70000,69900,69900,69900,69900,69900,69900,70000,73000,72000,74999.5,75000,79900,80000,79900,79900,79066.5,79900,84900,87900,85500,86450,85000,89900,89900,89900,89900,89900,90000,90000,93514
"New London County","CT","Norwich-New London","09","011",232,159900,159900,159900,159900,159000,159500,159000,150000,149900,149900,149900,149000,144000,138950,139900,139900,139900,140000,139900,135000,135000,133900,132900,134900,129900,129000,125000,125000,125000,125000,125000,124900,124900,124900,120000,120000,119900,124000,124900,120000,124900,123000,121500,124250,124900,124900,125000,124000,119900,119900,119900,119995,119900,119900,121000,125000,119900,120000,119900,120000,119900,117600,116950,120000,120000,124000,125000,124900,125000,124900,125000,124900,125000,125000,125000,125900,129000,129900,129900,129900,129900,131900,129900,129900,131900,132900,130000,129900,134900,134900,135000,138000,139850,139900,139000,139900,139900,139900,144900,143400,144900,147900,149000,145000,144900,145000,149000,149000,145000,143900,146400,146000
"Saint Clair County","IL","St. Louis","17","163",233,64500,65000,65799.5,69900,69900,69000,66900,64950,67000,67000,68500,65000,65000,59900,60000,60000,64900,61900,61000,61000,64500,59950,59000,56000,57000,54900,54900,53000,52500,52900,52900,55000,54900,54900,50000,49900,49975,49900,53280,54000,55000,54900,58500,55500,57900,55000,55000,55000,55000,52950,54000,55000,58000,57500,59000,59000,59000,59000,59000,58000,59000,59900,59900,59500,59900,59000,59500,59900,58000,55000,55000,54900,55900,56000,56000,56900,59000,59500,57900,55000,57000,54495,52900,50000,49900,49900,50000,50000,52000,53500,54625,55000,54987.5,55000,55000,53000,52900,52950,55000,55000,56900,59900,58900,59900,59000,59900,59000,58000,56200,55000,59700,59900
"San Luis Obispo County","CA","San Luis Obispo-Paso Robles-Arroyo Grande","06","079",234,250250,240000,245000,250000,250000,254450,254900,250000,249900,244900,234900,232540,229000,219000,227500,229000,229950,225000,222900,220000,219900,218900,219000,224500,219900,225500,220000,217500,214000,215000,219000,224900,211750,215000,229000,235000,239900,249000,249000,253400,259900,267750,269000,279495,279990,289700,295000,293250,299000,304900,309000,312000,319000,319900,315000,319000,315000,315000,315000,325000,319900,320500,322000,324838.5,325000,334900,345000,345000,349000,349900,350000,350000,359000,355000,358000,352000,359488.5,367450,368500,369000,369000,372000,374950,379000,374950,375000,375000,385000,382900,385000,389000,396749,398000,399949.5,399000,409000,409000,409000,409000,403500,409000,419000,419000,419000,424500,425000,425000,428750,426900,429000,429000,429900
"Horry County","SC","Myrtle Beach-Conway-North Myrtle Beach","45","051",235,99500,99750,99900,99900,99000,98000,96000,97450,97000,95003.5,89900,89900,89900,84900,85000,84900,84900,84900,84900,79970,79900,79900,79000,79900,79400,79900,79900,79900,79900,79900,79900,79900,79900,79900,79900,79900,79900,79900,79900,80999,82900,84500,84900,84900,85900,85500,86900,87975,89000,89000,88950,88900,88850,89000,88800,88000,89500,89500,88900,89500,89900,89900,89900,89900,89900,89900,89900,89900,89900,89999,91900,91500,93500,94900,92900,92900,92900,97000,97700,96375,99500,99000,99150,99700,99900,99900,104900,104900,104800,104900,104700,104900,105500,104900,104900,104900,105000,108900,109900,110250,114950,114900,115000,114900,114900,114900,113500,113000,113000,114550,115000,115000
