"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"Flamingo Lummus","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",165,,,,,,,,,,,,,,,,,,,,,,1750,1649,1659,1685,1729,1812.5,1872.5,2000,1737.5,1700,1500,1497.5,1500,1600,1681.5,1600,1700,1550,1750,1875,1750,1775,1800,1850,1900,1850,1900,2000,2250,2000,2000,1912.5,1950,1850,1800,1800,1812.5,1800,1800,1800,1800,1900,1900,1850,1800,1800,1800,1887.5,1900,1900,1996,1800,1800,1900,1800,1775,1700,1800,1800,1775,1800,1825,1800,1750,1750,1700,1750,1850,1850,1772.5,1800,1800,1850,1925,1950,2100,2000,2000,1850,1800,1800,1723.5,1700,1795,1795,1800,1800,1800
"Back Bay","Boston","MA","Boston-Cambridge-Newton","Suffolk County",166,,,,,,,,,,,2097.5,2055,1905,1965,2200,2500,2675,2770,2700,2600,2600,2505,2500,2300,2270,2250,2362.5,2350,2400,2800,2850,2925,3000,2810,2622.5,2395,2350,2600,2750,2800,3000,3100,3000,2900,2903,2800,2800,2750,2700,2600,2600,2800,2750,2800,2825,2750,2797.5,2835,2956,2600,2700,2500,2500,2515,2500,2525,2515,2600,2539.5,2560,2600,2600,2515,2500,2500,2475,2500,2530,2900,2850,2900,2600,2750,2675,2675,2690,2750,2675,2600,2700,2700,2750,2795,2700,2750,2797.5,2750,2650,2775,2750,2700,2800,2880,2925,2900,2995,3000,3000,2995
"Pico-Robertson","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2999,2700,2432.5,2522.5,2562.5,2700,2472.5,2472.5,2600,2695,2650,2695,2700,2850,2795,2895,2895,2700,2572.5,2800,2650,2675,2650,2695,2595,2595,2650
"West Village","New York","NY","New York-Newark-Jersey City","New York County",168,,,,,,,,,,3050,3300,3095,3000,3195,3192.5,3200,3197.5,3200,3300,3510,3495,3300,3472.5,3600,3500,3595,3500,3495,3300,3550,3595,3500,3400,3495,3400,3300,3295,3400,3481,3495,3499.5,3500,3500,3600,3695,3695,3675,3600,3600,3670,3650,3500,3500,3500,3500,3572.5,3600,3625,3600,3600,3750,3650,3700,3725,3700,3695,3795,3700,3700,3695,3695,3695,3600,3828,3675,3800,3895,3695,3670,3600,3500,3650,3647,3650,3595,3750,3795,3895,3800,3785,3695,3595,3595,3597.5,3670,3695,3712,3842.5,3750,3850,3895,3995,3897.5,3895,3775,3650,3667,3750,3850
"West Side","Jersey City","NJ","New York-Newark-Jersey City","Hudson County",169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1725,1775,1500,1425,1575,1700,1750,1800,1650,1595,1625,1525,1650
"South of Market","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3547.5,3700,3650,3795,3927.5,3850,3497.5,3348,3300,3200,3095,2900,3400,3272.5,3225,3425,3597.5,3625,4055,3937.5,3600,3550,3595,3362.5,3537.5,3690,3800
"Brooklyn Heights","New York","NY","New York-Newark-Jersey City","New York County",171,,,,,,,,,,,,,,,,,,,,,,,,2725,2300,2347.5,2550,2450,2550,2900,2995,2822,2850,2850,2959.5,2900,2800,2800,2950.5,2951,2950.5,3150,3150,3345,3130,2750,2700,2650,2650,2800,2800,2850,2950,3045,3025,2700,2850,3000,3085,2895,2900,3000,2962.5,2900,3000,3000,3000,3050,3158,3155.5,3100,3035,3000,2800,2950,3062,2995,3099.5,2950,2645,2950,3300,3200,3010,3180.5,3000,3100,3095,3000,3050,3295,3000,3200,3200,3200,3020,2975,2979,3000,3095,3200,3395,3325,3180.5,3250,3100,3100,3300,3300
"Fenway","Boston","MA","Boston-Cambridge-Newton","Suffolk County",172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2700,2650,2550,2500,2495,2450,2500,2550,2509,2495,2550,2600,2600,2595,2575,2590,2595,2650,2575,2600,2700,2600,2800,2750,2900,2900,2466
"Rittenhouse","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1695,1900,1850,1700,1825,1695,1685,1695,1695,1762.5,1750,1912,1799,1855,1750,1875,1695,1695,1595,1595,1550,1595,1697.5,1695,1887.5,1950,1975,1800,1750,1575
"Bergen-Lafayette","Jersey City","NJ","New York-Newark-Jersey City","Hudson County",174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772.5,1800,1800,1800,1750,1695,1650,1697.5,1600,1675,1525,1622.5,1575,1550,1499,1490,1490,1450,1550
"East Garfield Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1250,1350,1297.5,1250,1200,1200,1200,1200,1200,1200,1187.5,1100,1100,1195,1150,1197.5,1200,1172.5,1200,1197.5,1200,1200,1200,1200,1200,1200
"Ravenswood","Chicago","IL","Chicago-Naperville-Elgin","Cook County",176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,1300,1312.5,1350,1225,1150,1200,1200,1295,1250,1450,1395,1350,1450,1437.5,1295,1250,1250,1375,1250,1295,1250,1450,1450,1399,1425,1372.5,1397,1200,1337.5,1295,1295,1450,1480,1495,1375,1450,1395,1350,1300,1350,1350,1340,1325,1295,1255,1325,1250,1250,1295,1295,1300,1350,1350,1375,1387.5,1395,1395,1450,1475,1400,1450,1490,1450,1420,1400,1425,1450,1395,1375,1375,1375,1390,1459,1460,1322.5,1350,1350
"Sutton Place","New York","NY","New York-Newark-Jersey City","New York County",177,,,,,,,,,,,2700,3000,2750,3065,3350,3500,3100,3100,3065,3400,3200,3275,3200,3175,2900,3097.5,3000,3000,2947.5,3200,3300,3400,3310,3300,3300,3395,3400,3400,3397,3400,3300,3300,3395,3300,3400,3395,3450,3500,3500,3500,3500,3395,3350,3300,3350,3350,3397.5,3300,3350,3472.5,3595,3300,3490,3300,3295,3395,3200,3175,3200,3175,3150,3372.5,3350,3400,3208,3300,3175,3375,3450,3500,3450,3370.5,3300,3462,3200,3372.5,3500,3350,3200,3350,3282,3195,3200,3200,3272.5,3229,3497.5,3500,3450,3397.5,3350,3300,3400,3500,3672.5,3495,3650,3750,3850
"Columbus Circle","New York","NY","New York-Newark-Jersey City","New York County",178,,,,,,,,,,,,,,,,,,,,,,,3100,3097.5,3187.5,3200,3150,3090,3134,3195,3200,3200,3200,3155,3150,3195,3200,3200,3250,3295,3300,3300,3300,3267,3227.5,3295,3230,3290,3300,3375,3395,3688,3795,3581,3495,3600,3750,3750,3687.5,3725,3780,3600,3600,3590.5,3497.5,3495,3581,3495,3495,3300,3600,3450,3347.5,3400,3325,3432.5,3440,3538,3605,3472.5,3450,3462,3495,3419.5,3495,3600,3600,3595,3524,3650,3495,3445,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495,3495
"Pacific Heights","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3995,4000,4195,4637.5,4345,3997.5,3695,3792.5,3595,3995,3895
"Hermosa","Chicago","IL","Chicago-Naperville-Elgin","Cook County",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1300,1250,1250,1262.5,1250,1100,985,1000,1100,1100
"North Center","Chicago","IL","Chicago-Naperville-Elgin","Cook County",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537.5,1600,1600,1662.5,1600,1475,1700,1892.5,1885,1695,1500,1500,1600,1550,1575,1600,1695,1695,1650,1645,1672.5,1550,1650,1600,1700,1737.5,1750,1700,1700,1575
"Hellman","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1395,1395,1347.5,1400,1397.5,1395,1395,1395,1400,1385,1497.5,1445,1474.5,1600,1495,1495,1677.5,1595,1550,1595,1495
"Streeterville","Chicago","IL","Chicago-Naperville-Elgin","Cook County",183,,,,,,,,,,,1470,1530,1525,1530,1495,1645,1600,1659,1700,1782.5,1735,1725,1795,1652.5,1900,2050,1980,1915,1748.5,1883,1825,1765,1770,1795,1883,1848,1942.5,1960,2000,1990,1940,1899.5,1906,1799,1884.5,1965,1940,2067,2040,2105,2143,2225,2235,2146.5,2250,2285,2213,2150,2466,2386,2232,2271,2207,2225,2085,2310,2462.5,2341.5,2320,2412.5,2269,2165,2075,2374.5,2291.5,2141,2195,2078.5,2155,2086.5,2077,2179,2070.5,2180.5,2185,2170.5,2146,2272,2300,2200,2200,2125,2124,2118,2139.5,2299.5,2404,2400,2400,2399,2294,2224,2241.5,2222,2280,2277,2410,2225,2290
"Wingate","New York","NY","New York-Newark-Jersey City","Kings County",184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2399.5,2400,2100,2225,2300,2250,1975,1975,1984,1967,1987,2030,1950,1997.5,1900,2050,2100,2395,2150,2100,2270.5,2125,2000,2050,1950,1999.5,2050,2397.5,2287.5,1999,1875,1972.5,2249,2250,2199.5,2350,2349.5,2237.5,2399,2499,2500,2494,2414.5,2300,2295,2300,2300,2400
"Tribeca","New York","NY","New York-Newark-Jersey City","New York County",185,,,,,,,,,,,,,,,,,,5047.5,4795,4645,4922.5,4500,4450,4500,4500,4495,4800,4825,4525,4750,4695,4450,4895,4995,4995,5000,5100,4995,5195,5238,5095,4995,4695,4595,4500,4595,4695,4695,4695,4795,5095,5072.5,5595,5295,5295,5000,5000,4995,5295,5195,5195,5500,5697.5,5600,5600,5500,5295,5250,5095,5000,5000,5195,5000,5447.5,4995,5272.5,4995,4995,4995,5195,4895,5195,5966,6295,5782.5,5800,5990,6197.5,5415,5295,5015,4945,5272.5,5237.5,5100,5375,5365,5350,5495,5395,5700,5755,5495,5350,5197.5,5195,5125,5250,5395
"McGinley Square","Jersey City","NJ","New York-Newark-Jersey City","Hudson County",186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1450,1595,1600,1500,1595,1500,1500,1500,1475,1437.5,1450,1585,1575,1445,1600,1595,1499,1495,1350,1495,1550,1550,1595,1550,1425,1395
"Waikiki","Honolulu","HI","Urban Honolulu","Honolulu County",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1799.5,1672,1585,1550,1500,1550,1650,1650,1650,1724.5,1695,1800,1880,1950,1825,1700,1570,1570,1500
"Bucktown","Chicago","IL","Chicago-Naperville-Elgin","Cook County",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1997.5,1995,1995,2050,2095,2125,2200,2150,2195,2100,2195,2200,2095,1950,2000,1995,2000,1995,1995,1962.5,2000,2095,2100,2100,2150,2200,2095
"Gowanus","New York","NY","New York-Newark-Jersey City","Kings County",189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2825,2900,2850,2900,2900,3000,2997.5,2900,2900,2750,2800,2925,2695,2800,2900,3200,3000,2900,2850,2762.5,2700,2850,2800,2725,2800,2800,2800,2800,3000,3125,3200,3000,3000,3000,2995,3000,3000,2975,2990,2985,3000,3076,3200,3000,3206.5,3152,3000,3000,3050,2900,2800,2900,2900,2900,2840,3000,2900,2867,2850,2800,2800,2702,2850,3200,3200,3200,3300,3150,3022.5,2800,2939.5,3046,2999,2700,2750
