SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
40,28,Maine,State,ME,15022,15731,15769,16149,16374,16099,15744,15471,15564,15876,15769,15442,15132,14777,14720,15057,15315,15513,15560,15396,15662,15952,15708,15345,15044,14862,15219,15571,15172,15084,15672,16634,16860,15460,14411,14087,13533,13323,13356,13102,12924,12706,12100,11616,11459,11521,11620,11478,11304,11283,11054,10653,10352,9892,9481,9413,9524,9814,10087,10081,9935,9784,9560,9364,9208,9161,9450,9746,10029,10348,10318,10305,10375,10077,9595,9240
41,39,New Hampshire,State,NH,13860,13907,13875,14212,14482,14178,13746,13405,13283,13242,12916,12864,12901,12391,12151,12515,12775,13076,13310,13145,13193,13297,13107,12890,12649,12613,13103,13668,13845,14133,14334,14043,13615,13141,12846,12506,11900,11686,11726,11390,11103,10806,10163,9787,9587,9385,9432,9530,9606,9680,9459,8978,8505,7914,7578,7639,7610,7667,7870,8032,8196,8111,7767,7556,7399,7519,8292,8873,8923,8869,8741,8796,9024,9041,8788,8549
42,50,Rhode Island,State,RI,7418,7340,7176,7227,7243,7005,6833,6798,6823,6895,6865,6801,6787,6734,6800,6958,6978,7141,7355,7277,7248,7292,7166,6983,6793,6530,6583,6957,6951,6858,6922,6923,6895,6618,6417,6513,6502,6489,6460,6216,6100,6107,6055,6066,5967,5872,5885,5770,5746,6040,6096,5668,5361,5205,5126,5149,5072,5091,5184,5133,5075,4974,4788,4785,4931,4985,5084,5267,5379,5425,5350,5296,5335,5245,5070,5004
43,35,Montana,State,MT,8264,8583,8801,9251,9158,8472,8022,7811,7754,7840,7833,7834,7687,7292,7255,7590,7793,7993,8181,8175,8196,8139,7948,7818,7848,7953,7901,7739,7535,7554,7647,7563,7522,7560,7806,8001,7928,8024,8213,8154,8198,8372,8363,8265,8116,8004,7918,7767,7669,7692,7653,7489,7434,7412,7390,7419,7361,7266,7204,7142,7057,6931,6777,6630,6545,6385,6173,6116,6173,6192,6083,6002,5949,5749,5507,5365
44,13,Delaware,State,DE,9287,9149,8995,9547,9839,9184,8447,8115,7986,7994,7925,7854,7857,7780,7825,8069,8234,8472,8665,8579,8547,8508,8348,8178,7979,7887,7935,7706,7228,7220,7401,7740,8389,8517,8388,8328,8123,8161,8290,8166,8195,8455,8689,8730,8444,8230,8160,7947,7848,7996,7970,7737,7625,7503,7366,7219,6990,6997,7105,6959,6823,6751,6558,6512,6608,6526,6442,6362,6208,6168,6134,6139,6174,6107,5994,5920
45,3,Alaska,State,AK,4986,4960,4912,5023,5182,5261,5260,5125,4976,4882,4693,4498,4358,4181,4132,4172,4081,4082,4128,4031,4057,4149,4168,4171,4163,4226,4359,4372,4170,4079,4111,4082,4085,4035,4029,4143,4242,4375,4478,4450,4477,4505,4402,4324,4259,4229,4254,4211,4155,4132,4072,4072,4093,3927,3849,4013,4079,4076,4151,4192,4202,4184,4124,4103,4156,4177,4147,4135,4145,4154,4102,4084,4100,4044,4014,4024
46,37,North Dakota,State,ND,1915,1855,1787,1754,1746,1684,1567,1539,1630,1717,1739,1782,1837,1815,1799,1831,1817,1824,1856,1875,1973,2071,2108,2114,2082,2090,2193,2273,2208,2189,2269,2323,2375,2403,2490,2616,2680,2811,2959,3042,3212,3405,3502,3482,3346,3314,3359,3321,3350,3521,3674,3772,3895,4003,4132,4225,4190,4139,4111,4108,4154,4171,4208,4369,4533,4538,4462,4430,4405,4304,4111,3983,3934,3819,3766,3844
47,58,Vermont,State,VT,8602,8539,8506,8667,8815,8716,8557,8449,8463,8516,8348,8248,8303,8135,8042,8273,8470,8689,8919,8917,8940,8949,8798,8730,8754,8908,9245,9308,9051,9088,9252,9226,9117,8948,8870,8742,8464,8337,8297,8200,8230,8188,7990,7937,7836,7619,7500,7438,7441,7490,7406,7259,7120,6831,6579,6485,6397,6386,6436,6422,6370,6289,6189,6152,6173,6219,6350,6430,6416,6383,6267,6200,6219,6208,6151,6083
48,12,District of Columbia,State,DC,1613,1585,1528,1559,1601,1567,1537,1505,1497,1564,1601,1635,1653,1570,1551,1612,1606,1647,1711,1696,1734,1753,1659,1594,1574,1561,1631,1727,1716,1728,1779,1823,1882,1867,1843,1816,1751,1772,1820,1771,1771,1821,1793,1769,1739,1693,1682,1691,1742,1822,1798,1720,1755,1785,1765,1781,1801,1923,2119,2181,2165,2148,2148,2225,2221,2074,2012,2063,2143,2189,2111,2045,2038,1985,1928,1920
49,62,Wyoming,State,WY,5288,5153,4984,4925,4917,4857,4774,4687,4671,4637,4521,4526,4550,4423,4379,4455,4423,4390,4357,4103,3836,3820,3935,3998,4041,4147,4288,4334,4205,4172,4267,4357,4446,4424,4432,4504,4533,4711,4940,4974,5031,5138,5144,5162,5173,5158,5129,5057,5012,5013,4994,5070,5237,5277,5303,5398,5391,5310,5236,5149,5078,4978,4867,4874,4933,4826,4634,4557,4542,4483,4363,4324,4343,4230,4067,4012
