"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-04-30,275095,"Property Owners of Apple Creek","TX","San Antonio-New Braunfels","Bexar County","San Antonio",6798,184300,0.0016304347826087,0.00381263616557734,-0.00913978494623656,0.0572805077191989,0.032155027388024,"2018-05","2018-Q2",186300,-0.0107353730542136,"2018-03"
2019-04-30,274918,"Optimist Park SW","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Tempe",6799,300000,0.000333444481493831,-0.00497512437810945,0.053740779768177,0.0558664871409327,0.0420066424712817,"2019-01","2019-Q1",301500,-0.00497512437810945,"2019-01"
2019-04-30,274237,"Lake Park","FL","Naples-Immokalee-Marco Island","Collier County","Naples",6800,499000,-0.0057780434349472,0.00625126033474491,0.0202412594561439,,,"2019-02","2019-Q1",502200,-0.00637196336121067,"2019-02"
2019-04-30,399510,"Loring Heights","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",6801,295300,-0.0010148849797023,-0.00169033130493577,0.0599425699928212,0.0730185242635106,0.0243746691586753,"2006-10","2006-Q4",297500,-0.00739495798319328,"2006-08"
2019-04-30,761605,"Old West Lawrence","KS","Lawrence","Douglas County","Lawrence",6802,247200,-0.00882117080994387,-0.00483091787439614,0.0785340314136126,0.0592238410488122,0.0188453803262456,"2019-02","2019-Q1",249800,-0.0104083266613291,"2018-11"
2019-04-30,274502,"Merriwether","KY","Louisville/Jefferson County","Jefferson County","Louisville",6803,150000,-0.0240728692257645,-0.0266060999351071,0.085383502170767,0.0875340637705326,0.0713456936792358,"2019-02","2019-Q1",154800,-0.0310077519379845,"2018-11"
2019-04-30,251752,"Riverbend","WA","Seattle-Tacoma-Bellevue","King County","North Bend",6804,419400,-0.00332699619771863,-0.000952834683182468,-0.0212368728121354,0.101198807475202,0.0362688605008543,"2018-01","2018-Q1",433200,-0.0318559556786704,"2017-06"
2019-04-30,762768,"New Mark Commons","MD","Washington-Arlington-Alexandria","Montgomery County","Rockville",6805,606200,-0.00328839197632358,0.00297816015883521,0.034294488995052,0.0124263853787021,0.0215502046235134,"2019-03","2019-Q1",608200,-0.00328839197632358,"2019-02"
2019-04-30,266030,"Westchester","TX","Lubbock","Lubbock County","Lubbock",6806,153000,0,-0.0084251458198315,0.0139165009940358,0.0270277322424641,0.0246775584061831,"2019-01","2019-Q1",154300,-0.0084251458198315,"2018-08"
2019-04-30,266389,"Pine Ridge","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Greenacres",6807,77400,-0.0239596469104666,-0.0177664974619289,0.069060773480663,0.117059200555504,0.0285675324628172,"2006-11","2006-Q4",121300,-0.361912613355317,"2004-12"
2019-04-30,184670,"Union Ridge","NC","Winston-Salem","Forsyth County","Winston-Salem",6808,95300,0.0214362272240086,0.0358695652173913,0.139952153110048,0.117841043830317,0.0069759864354737,"2008-07","2008-Q3",95400,-0.0010482180293501,"2008-07"
2019-04-30,418013,"Cedar Ridge Park","OK","Tulsa","Tulsa County","Tulsa",6809,171800,0.00409117475160725,0.00880798590722255,-0.00232288037166086,0.0284724683389965,0.0165448946237081,"2018-09","2018-Q3",172200,-0.00232288037166086,"2018-08"
2019-04-30,267779,"Randolph","KS","Topeka","Shawnee County","Topeka",6810,90900,0,0.0111234705228031,0.0757396449704142,0.0195815943966204,0.00088437448562062,"2010-06","2010-Q2",92500,-0.0172972972972973,"2010-04"
2019-04-30,269193,"Propect-Southland Park","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","West Palm Beach",6811,720100,-0.013696753869333,0.0062884292901062,0.0725350014894251,0.0982495919319906,0.0547172677612378,"2019-03","2019-Q1",730100,-0.013696753869333,"2019-02"
2019-04-30,270489,"Sandia Ridge","NM","Albuquerque","Bernalillo County","Albuquerque",6812,269500,0.00223131275567125,-0.000370919881305638,0.012396694214876,0.0615713645040243,0.013233417376717,"2018-09","2018-Q3",270700,-0.00443295160694496,"2018-08"
2019-04-30,762472,"Challenger Park","CO","Denver-Aurora-Lakewood","Douglas County","Parker",6813,500000,-0.00039984006397441,-0.0001999600079984,0.0414496979795876,0.0593368610941778,0.0462295516937814,"2019-03","2019-Q1",500200,-0.00039984006397441,"2019-01"
2019-04-30,274326,"Linwood","KS","Wichita","Sedgwick County","Wichita",6814,55900,-0.0123674911660777,-0.0141093474426808,0.0448598130841121,0.031802990474727,-0.00705302803030861,"2011-03","2011-Q1",60900,-0.0821018062397373,"2004-11"
2019-04-30,763324,"Chalet","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Greenacres",6815,193000,0.00520833333333333,0.0200845665961945,0.0764082543223648,0.148698354997035,0.0624607468326699,"2006-06","2006-Q2",228300,-0.154621112571178,"2005-08"
2019-04-30,272133,"Historic Third Ward","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",6816,350900,0.00602064220183486,0.0474626865671642,0.0643008795875038,0.050335885878442,0.0180228504918911,"2019-04","2019-Q2",350900,0,"2019-04"
2019-04-30,268099,"Crestmont","CA","San Francisco-Oakland-Hayward","Alameda County","Oakland",6817,1061400,0.00132075471698113,-0.0028184892897407,0.0414050235478807,0.0782062109594863,0.0514135405645959,"2019-01","2019-Q1",1064400,-0.0028184892897407,"2019-01"
2019-04-30,113305,"Woodglen","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Chandler",6818,266200,-0.00634565136244868,0.00075187969924812,0.0480314960629921,0.0823656702904827,0.0522254622414,"2019-02","2019-Q1",268000,-0.00671641791044776,"2019-02"
2019-04-30,275263,"Rural-Geneva","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Tempe",6819,310400,-0.0025706940874036,0.0203813280736358,0.0941135001762425,0.0800542240131825,0.0418000455394865,"2019-03","2019-Q1",311200,-0.0025706940874036,"2019-03"
2019-04-30,274916,"Optimist Park NW","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Tempe",6820,295700,0,0.00646698434309054,0.0560714285714286,0.0597739508235251,0.0408704636076174,"2019-04","2019-Q2",295700,0,"2019-04"
2019-04-30,126043,"San Jose Forest","FL","Jacksonville","Duval County","Jacksonville",6821,325400,0.0294210692818728,0.0336721728081321,0.094885598923284,0.0522876981442297,0.0192166902323094,"2006-10","2006-Q4",378600,-0.140517696777602,"2006-02"
