"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"West Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3175,3397.5,3272.5,3295,3295,3650,3495,3500,3500,3572.5,3650,3595
"South Boston","Boston","MA","Boston-Cambridge-Newton","Suffolk County",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4200,4400,4800,4800,4800,4400,4200,4000,4000,4150,4200,4000,3995,4600,4500,4500,4800,4800,4500,4400,4000,4000,4000,4200,3995,4400,4600
"La Jolla","San Diego","CA","San Diego-Carlsbad","San Diego County",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7250,7500,8000,8400,8000,7500,8000,7997.5,7995,7450,7500,8225,7500,7500,7995,7550,7200,6850,6947.5,8000,7400,8000,8300,9000,8250,8000
"Summerlin South","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204,2135,2200,2200,2200,2050,2000,2000,2050,2032.5,2100,2150,2150,2250,2222.5,2075,2425,2799.5,2500,2500,2349,2497.5,2899
"Hollywood Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16500,17699.5,16500,16000,15749.5,17500,17500,15999,16000,14500,14500,14000,15250,13700
"Corona Valley","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497,2512.5,2550,2600,2550,2500,2525,2597.5,2572.5,2500,2500,2500,2500,2540,2600,2600,2625,2600,2600,2600,2700,2695,2600,2600,2600,2600,2650,2600
"South End","Boston","MA","Boston-Cambridge-Newton","Suffolk County",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,5200,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,4900,5000,5200,5150,5000,5200,4900,4800,4800,4800,4800,4900,4900,5400,5300,5300,5200
"North Dorchester","Boston","MA","Boston-Cambridge-Newton","Suffolk County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,2900,2900,2900,3000,2800,2800,2650,2600,2600,2700,3000,3000,3200,3200,3200,3200,3200,3100,3050,3000,2900,3000,2900,3000,3195,3200,3200,3200,3095,2900,2900,2850,2950,3200,3500,3200,3200,3200
"Meadow Woods","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1699,1629,1612.5,1650,1695,1695,1782.5,1720.5,1768,1774.5,1774.5,1750,1799,1775,1800,1850,1850,1805,1895,1895,1882,1889.5,1886,1900,1900,1925,1890
"Allston","Boston","MA","Boston-Cambridge-Newton","Suffolk County",45,,,2850,2800,2800,2700,2650,2650,2750,2600,2600,2900,3000,3000,3000,2950,2950,2800,2800,2800,2800,2800,2800,2900,3000,3050,3100,3000,3025,3050,3000,3000,3000,3000,3000,3000,3200,3200,3200,3200,3200,3200,3200,3200,3200,3100,3000,3200,3300,3397.5,3300,3300,3200,3200,3200,3100,3100,3100,3200,3400,3500,3500,3500,3500,3500,3400,3350,3200,3300,3200,3100,3550,3600,3600,3600,3600,3600,3500,3500,3500,3450,3200,3600,3795,3800,3800,3800,3800,3795,3772.5,3699.5,3600,3600,3500,3700,3800,3850,3800,3800,3700
