SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
14,26,Massachusetts,State,MA,30622,29843,32987,36776,41054,35048,34579,34355,34772,35259,30469,26028,25113,25905,27168,33491,34713,37019,37954,35199,36169,36268,30727,26580,23113,22268,24224,31058,33193,35990,37156,34938,37711,34436,31060,26712,22488,21916,26605,27056,28994,31931,28905,29690,28955,27819,25848,20108,18873,18701,21946,22086,26490,25040,24352,25357,25041,24210,22718,17247,16806,16594,17605,20355,25174,24589,24036,25549,25593,27603,23152,18819,18936,17784,19424,21631
15,8,Arizona,State,AZ,43674,42304,43141,44082,44952,41090,41645,40743,41141,46539,46187,44556,48435,48506,50234,53367,49663,49980,50925,47199,46803,50013,47565,46406,44932,46688,47534,49559,43376,43058,44809,41354,44319,44099,43862,43068,40327,42387,45166,42899,45753,46948,42903,44349,41421,42127,43683,39266,40542,42156,45087,41671,42970,38546,37305,38594,36033,36704,38867,34042,38927,39033,38461,38945,40337,36624,34947,36821,34515,37823,35631,33069,37842,37434,38275,38735
16,53,Tennessee,State,TN,57172,57258,59539,62516,66816,64548,66562,64475,62733,63627,59527,55854,56245,52982,54435,60279,58881,60482,63787,60563,59690,60557,54700,52329,49588,48861,43329,46169,40847,42356,45394,45063,45439,45697,40298,38401,35694,36636,40160,40019,40924,44444,42160,44252,41772,40817,40218,34840,34369,35494,36638,34873,36977,36072,37813,39416,37602,36676,37199,32745,33780,32434,33531,35338,38266,37821,38050,40443,38208,39608,36225,33531,35125,33275,33780,34420
17,32,Missouri,State,MO,45722,45161,46681,48969,52616,51992,53274,51485,49948,52494,48356,44290,43524,41980,44300,50203,48842,50737,53163,50847,49780,50419,46182,43295,40609,39845,38714,47363,44433,48411,49907,47542,49280,45120,42423,39689,36209,37021,40830,40451,41267,44059,42099,43899,40447,39818,38551,33880,32778,33968,36615,36071,38575,37037,37914,39618,37239,35866,34990,30480,31110,30033,31758,33446,36614,36351,36203,37919,35072,35412,31393,27921,28261,26250,27557,28463
18,27,Maryland,State,MD,25550,25286,25879,27939,30050,29166,29673,28820,27776,29891,28260,25576,26243,24844,27044,33350,33495,35894,38119,35780,36321,37436,34091,31592,30206,30082,31249,37837,36807,39091,40384,37413,40086,37151,35205,33079,28465,28751,33564,33729,34673,37514,35303,36373,34201,33155,31551,26579,25801,26049,28893,28144,31337,29691,29711,30843,29143,28775,32105,27209,27413,26983,28684,31708,33587,29570,29022,30632,28603,30246,26289,22919,23123,21522,23087,25328
19,60,Wisconsin,State,WI,41183,40754,43172,46121,51364,51190,52072,52008,50272,49710,45301,40443,39234,38537,41084,47352,49053,51975,55009,52924,51941,51743,46013,41801,38254,39538,43300,48477,47026,48661,49639,47346,47243,42961,39240,35876,32471,33210,37681,39911,43466,47573,45875,47386,43659,41129,37694,31478,28790,30695,34140,35680,39670,38824,38791,39536,36847,34523,31675,26037,24998,24797,27451,29319,34205,34016,34313,35998,33351,33910,29176,24616,24006,23342,24676,27529
20,31,Minnesota,State,MN,21553,21191,22765,24843,27993,28689,30581,29823,28618,29634,26283,22960,22227,21310,23280,28071,28668,32693,35619,34855,34519,38370,31168,27065,24174,25272,27591,32963,31142,33220,34961,33489,36223,32267,29128,25672,22447,23518,28689,29840,33134,36079,33847,35311,32369,30297,26185,20834,19275,20282,23546,24690,27525,26946,27303,29001,27217,26117,23383,18037,17609,17810,19710,20943,25801,26082,26546,28721,26545,26718,21726,17617,16979,16073,17659,20143
21,10,Colorado,State,CO,36526,36323,38231,40311,44837,46276,48368,45800,42957,43478,38547,33778,34209,31650,33714,38410,39200,41849,46276,42277,41562,39672,33477,30382,27273,28176,29570,33493,31250,35337,38211,36913,37451,34087,31058,27962,23076,22671,25728,26226,29150,35112,35127,37408,33980,32360,29948,24646,23124,24094,25968,25080,30530,30864,30632,32386,29357,27046,25116,20027,21131,20127,21701,23744,28126,28724,29586,31981,29766,31250,26780,22735,23654,22596,23608,26011
22,4,Alabama,State,AL,33139,32907,34187,35371,37765,37374,37939,36537,34269,32261,31841,29721,30375,29306,30854,33921,33193,33842,35565,36182,36153,36634,34346,33979,33566,34036,36827,39319,36756,38277,40019,38600,38218,35600,34134,32980,31845,32215,35335,34885,36038,37841,36209,37407,36347,35176,34942,31917,31940,32835,34614,34461,35980,33796,34383,35245,33513,32884,31397,28212,29955,29094,30149,31363,32986,32006,31597,32886,30503,31240,28422,26040,26554,25677,26020,26424
23,51,South Carolina,State,SC,45502,45479,47803,49529,53588,51130,51240,49694,48329,49986,47591,44846,46267,45346,47546,51180,50056,50986,52674,49881,49821,51038,47553,45751,43800,44997,43763,47526,40764,43350,46334,44301,45380,42292,40794,39412,37590,38280,41443,39883,40669,42885,40736,42152,39309,37685,38339,34641,35745,36911,39683,37587,39315,37059,37280,38455,35439,35355,35953,32396,34333,33863,34900,35135,36976,35177,34416,36076,32762,35547,32706,30330,33e3,32002,33950,34925
