"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04"
"South Central Beach","Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,139000,134950,134500,135000,135000,138000,140000,142450,144950,148500,145000,150200
"Fairmount Park","Norfolk","VA","Virginia Beach-Norfolk-Newport News","Norfolk City",458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131900,135000,130000,121900,120000,120000,129949.5,129999.5,134900,148450,145000,143950,144900,133000,133000,138000,135000,124900,134950,129900
"Imperial Point","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,102500,98000,95500,104500,99900,99900,106950,114000,108949.5,113574.5,99999,106300,104900,111899.5,115000,115000,115000,115000,110000,110000,115000,114500,114500,115000,118750,120000,112399.5,115000,115000,110000
"Franklin Park","Franklin","NJ","New York-Newark-Jersey City","Somerset County",460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219999,224900,217900,224900,219900,229000,222450,214900,215000,224900,225000,227000,219000,219450,219900
"The Island","Venice","FL","North Port-Sarasota-Bradenton","Sarasota County",461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149400,150000,149999,159000,144450,140000,140000,140000,140000,144999.5,148850,157500,158750,149900,149000,155000,155000,159900,158700,152450,158700,169000,169900,169250,169250,169450
"Buckley","Manchester","CT","Hartford-West Hartford-East Hartford","Hartford County",462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134900,147000,152950,155950,158450,149900,149900,149900,139900,154000,154900,157900,158500,149900,158400,159900,162400,159900,159450,159900,159900,159900,159900,157900,155900,157900,159450,159900,159900,157900,153900,153900,153582,159900,168900,165000
"Indianola Hills","Des Moines","IA","Des Moines-West Des Moines","Polk County",463,,,79900,85000,79900,79900,79400,79900,77900,79900,78450,74900,72000,64900,64900,71750,69900,69900,69000,65870,64900,68500,69900,69900,69700,69700,64900,67564,69900,76000,69900,69900,74950,70000,79400,79900,72950,68000,68950,79900,84900,78700,80000,81000,86000,80425,78950,79900,77500,73500,73500,77500,79900,79950,75000,79900,84250,80000,84900,83950,82000,84900,85000,84900,89900,95000,89000,85350,87350,84950,85700,89500,89700,90950,89900,89900,96200,97500,98000,95950,97200,99500,99950,101450,97450,94310,96450,99000,99500,103950,109000,109900,109000,109950,109900,105000,104900,104900,105000,105000,104950,109900,109950,109900,109900,115000,109900,114700,111250,116900,119900,120000
"Mirror Lake","Plantation","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93000,96450,104900,98000,98900,109900,105000,103949.5,111400,103499.5,102999,102999,105999,106900
"Whitman Park","Camden","NJ","Philadelphia-Camden-Wilmington","Camden County",465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,39950,37450,34905.5,39900,41000,42000,41950,39950,34900,35000,37500,43250,44700,41000,34911,34955.5,34911,39900,34900,35000,34500,34500,34911,35000,34911,35000,29900,35000,35000,35000,32500
"Sheraden","Pittsburgh","PA","Pittsburgh","Allegheny County",466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49950,49900,49900,46700,49400,43500,43500,49400,45000,42500,48250,45000,40000,39000,39400,40000,40000,40000,38892,42500,44000,44000,44499.5
"South Semoran","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",467,,,,,,35000,35000,34900,34900,35000,32900,35000,35000,39000,35000,34500,37000,40000,37000,35950,35500,40000,43450,42000,40000,43900,43400,42500,45000,45000,48000,49900,49900,49900,47900,53000,55000,57750,59900,59900,51500,55000,52900,54900,59900,62900,59900,58400,55500,59445,59445,62000,64000,60000,64000,64000,63500,59900,59997.5,59997.5,60500,62000,61950,62000,64990,64500,64900,65000,65500,67500,67750,68900,68800,69000,69900,69000,66000,72000,72000,74900,74900,72950,75000,74900,74900,74995,74947.5,78950,81000,79900,79000,80000,84900,92000,85000,97500,99150,1e+05,100950,91000,93550,93000,99900,93999,99999.5,104900,99949.5,104900,109900,109000,103000,106000
