"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-04-30,"06791","CT","Torrington","Litchfield County","Harwinton",11393,1669,-0.00179425837320574,-0.0124260355029586,-0.0451945080091533,2214
2019-04-30,"27341","NC","Greensboro-High Point","Randolph County","Seagrove",11394,980,-0.00910010111223458,-0.0180360721442886,0.0757409440175631,1328
2019-04-30,"61231","IL","Davenport-Moline-Rock Island","Mercer County","Aledo",11395,1082,-0.00642791551882461,-0.0172570390554042,-0.0109689213893967,1554
2019-04-30,"04260","ME","Portland-South Portland","Cumberland County","New Gloucester",11396,1733,-0.00402298850574713,-0.0130979498861048,0.00231347599768652,2247
2019-04-30,"14432","NY","Rochester","Ontario County","Clifton Springs",11397,1268,0.00475435816164818,0.0144,0.0549084858569052,1308
2019-04-30,"70431","LA","New Orleans-Metairie","Saint Tammany Parish","Bush",11398,1364,-0.00146412884333821,-0.0021945866861741,-0.0250178699070765,2098
2019-04-30,"95709","CA","Sacramento--Roseville--Arden-Arcade","El Dorado County","Camino",11399,1817,0.00331308669243512,0.00220628792057364,0.0694526191877575,1235
2019-04-30,"12962","NY","Plattsburgh","Clinton County","Schuyler Falls",11400,1507,0.000664010624169987,-0.0195185426154847,-0.0364450127877238,1787
2019-04-30,"77856","TX","College Station-Bryan","Robertson County","Franklin",11401,1397,-0.000715307582260372,-0.000715307582260372,0.016,722
2019-04-30,"07739","NJ","New York-Newark-Jersey City","Monmouth County","Little Silver",11402,2990,0.00369251426653239,0.0111599594183294,0.038915913829048,2378
2019-04-30,"12545","NY","New York-Newark-Jersey City","Dutchess County","Washington",11403,2058,0,0.0127952755905512,0.0741127348643006,1435
2019-04-30,"65648","MO","Springfield","Greene County","Fair Grove",11404,915,0.00549450549450549,0.0212053571428571,0.0790094339622641,1730
2019-04-30,"89501","NV","Reno","Washoe County","Reno",11405,1562,0.000640614990390775,0.00579523502897617,0.0539811066126856,1267
2019-04-30,"06354","CT","Worcester","Windham County","Plainfield",11406,1392,-0.000717875089734386,-0.0021505376344086,0.0715935334872979,1628
2019-04-30,"17007","PA","Harrisburg-Carlisle","Cumberland County","Boiling Springs",11407,1490,0.0129163834126445,0.00948509485094851,-0.06875,2022
2019-04-30,"44272","OH","Akron","Portage County","Rootstown",11408,1165,0.00517687661777394,0.00691443388072601,-0.0339966832504146,1798
